IMPACT ---------------------------------------------------------------------------------------------------------------------------
CAT;dataset; valid_metric; best hyperparams rounded

Naive CAT + Adam;algebra; {'inner_user_lr': 0.01, 'num_inner_users_epochs': 7}
Naive CAT + Adam;math2;{'inner_user_lr': 0.05, 'num_inner_users_epochs': 10}
Naive CAT + Adam;assist0910;{'inner_user_lr': 0.05, 'num_inner_users_epochs': 9}

Beta_cd; algebra; meta_lr = 0.001, kl_weight = 0.001
Beta-cd; math2; meta_lr = 0.05, kl_weight = 0.0001
Beta-CD;assist0910;{'meta_lr': 0.005, 'kl_weight': 0.0001}

MAML; algebra;{'meta_lr': 0.05, 'inner_user_lr': 0.01}
MAML; math2; meta_lr = 0.01, inner_user_lr = 0.005
MAML; assist0910; {'meta_lr': 0.05, 'inner_user_lr': 0.01}

Approx_GAP; algebra; 'meta_lr':1.0
Approx_GAP; math2; meta_lr = 2.0
Approx_GAP; assist0910; meta_lr = 2.0

MICAT;algebra; meta_lr = 1.0, learning_users_emb_lr = 0.0005
MICAT; math2; meta_lr = 0.01,learning_users_emb_lr = 0.001
MICAT;Assist0910; meta_lr = 2.0,learning_users_emb_lr = 0.001

NCDM ---------------------------------------------------------------------------------------------------------------------------

Naive CAT + Adam;algebra;inner_user_lr = 1e-5,num_inner_users_epochs = 3.0
Naive CAT + Adam;math2;inner_user_lr = 0.05, num_inner_users_epochs = 8.0
Naive CAT + Adam;assist0910;inner_user_lr = 1e-5,num_inner_users_epochs = 8.0

ApproxGAP; algebra; meta_lr = 0.5
ApproxGAP; math2; meta_lr = 0.01
ApproxGAP; assist0910; meta_lr = 0.05

BETA-CD; algebra; meta_lr=0.001, kl_weight = 0.0002
BETA-CD; math2; meta_lr=0.05, kl_weight = 0.0005
BETA-CD; assist0910; meta_lr=0.01, kl_weight = 0.0005

MAML; algebra; meta_lr = 0.005, inner_user_lr = 0.0001
MAML; math2; meta_lr = 0.1, inner_user_lr = 0.01
MAML; assist0910; meta_lr = 0.05, inner_user_lr = 0.01

MICAT; Algebra; meta_lr = 1.0, learning_users_emb_lr = 0.0001
MICAT; math2; meta_lr = 2.0,learning_users_emb_lr = 0.0001
MICAT;Assist0910; meta_lr = 0.001,learning_users_emb_lr = 0.001
