step,metric,mean,std,n,type
0,ma_f_b,0.565898358821869,0.019054388256714638,5,predictive
0,ma_prec,0.5653067708015442,0.019328571537781395,5,predictive
0,ma_rec,0.5962137341499328,0.03662458471832913,5,predictive
0,mae,0.39135395884513857,0.023185827826541584,5,predictive
0,meta_doa,0.4919468100615806,0.010077181659171154,5,interpretability
0,mi_acc,0.6856182098388672,0.02098435440670958,5,predictive
0,mi_auc,0.5596335734254032,0.011478928767959968,5,predictive
0,mi_f_b,0.7936372637748719,0.016170230653237118,5,predictive
0,mi_prec,0.8562378883361816,0.030729700854375364,5,predictive
0,mi_rec,0.7403480529785157,0.009545267097091373,5,predictive
0,pc-er,0.012109374999999988,0.24508421474742756,5,interpretability
0,rm,0.05792001911569979,0.041976039910335966,5,interpretability
0,rmse,0.47695220112800596,0.011527031180264581,5,predictive
1,ma_f_b,0.566061806678772,0.016850495694594812,5,predictive
1,ma_prec,0.565299391746521,0.01830840552572347,5,predictive
1,ma_rec,0.5975322961807251,0.04166380757126495,5,predictive
1,mae,0.392254376411438,0.025931923612633943,5,predictive
1,meta_doa,0.49422063294581786,0.009052216366049996,5,interpretability
1,mi_acc,0.6839980244636535,0.023877864176933123,5,predictive
1,mi_auc,0.5441178163446644,0.016171150793145458,5,predictive
1,mi_f_b,0.7918588280677795,0.01924499741123917,5,predictive
1,mi_prec,0.8523448467254638,0.03821444182953787,5,predictive
1,mi_rec,0.7404369235038758,0.008442531812642217,5,predictive
1,pc-er,-0.09219970703125002,0.15038521496838797,5,interpretability
1,rm,0.1043610151305695,0.04859731325231292,5,interpretability
1,rmse,0.4775453329086304,0.014402523408250422,5,predictive
2,ma_f_b,0.5765107989311219,0.022527009102315632,5,predictive
2,ma_prec,0.574329137802124,0.022025852560856665,5,predictive
2,ma_rec,0.6111363887786865,0.047271211257613924,5,predictive
2,mae,0.3888523459434509,0.0254779546023181,5,predictive
2,meta_doa,0.4948709287208251,0.011595327964561036,5,interpretability
2,mi_acc,0.6930280566215515,0.026480277776103962,5,predictive
2,mi_auc,0.5561419752422124,0.020316635139536066,5,predictive
2,mi_f_b,0.7982988953590393,0.020246500132944198,5,predictive
2,mi_prec,0.8613760232925415,0.035405921258563684,5,predictive
2,mi_rec,0.7446736454963685,0.010811808765265336,5,predictive
2,pc-er,0.035610961914062496,0.15803675687046145,5,interpretability
2,rm,0.1656487810940043,0.017873758898085162,5,interpretability
2,rmse,0.4729451179504395,0.015091050981567072,5,predictive
3,ma_f_b,0.562073814868927,0.02173321898898068,5,predictive
3,ma_prec,0.5611032247543335,0.021886609968416192,5,predictive
3,ma_rec,0.5838007450103759,0.047991966323864814,5,predictive
3,mae,0.39915570616722107,0.025941572528773053,5,predictive
3,meta_doa,0.4965799541551405,0.011321230308975678,5,interpretability
3,mi_acc,0.6646082043647766,0.038700136078039016,5,predictive
3,mi_auc,0.5251515952221301,0.01468503722523718,5,predictive
3,mi_f_b,0.7722257018089295,0.03433598070209723,5,predictive
3,mi_prec,0.8108830928802491,0.06513367850537435,5,predictive
3,mi_rec,0.7394636273384095,0.009895269180059247,5,predictive
3,pc-er,0.09097747802734373,0.15221594404291383,5,interpretability
3,rm,0.21464417491958612,0.0450001433631931,5,interpretability
3,rmse,0.5005213141441345,0.027773066791434195,5,predictive
4,ma_f_b,0.5597501158714295,0.01208216615690553,5,predictive
4,ma_prec,0.5600801229476928,0.01302405324092344,5,predictive
4,ma_rec,0.5754616975784301,0.031658041074204654,5,predictive
4,mae,0.40342289209365845,0.023513386798664875,5,predictive
4,meta_doa,0.49613873347472276,0.009351722109267269,5,interpretability
4,mi_acc,0.6575754404067993,0.02980924217207531,5,predictive
4,mi_auc,0.5270901075830119,0.009485203760260186,5,predictive
4,mi_f_b,0.7656416893005371,0.028233900331231777,5,predictive
4,mi_prec,0.7964065074920654,0.0575578569489928,5,predictive
4,mi_rec,0.7398351788520814,0.0065287764235844115,5,predictive
4,pc-er,0.06433258056640623,0.20815711562010766,5,interpretability
4,rm,0.245473334528149,0.03892248259767575,5,interpretability
4,rmse,0.5079010486602782,0.02231951987017432,5,predictive
5,ma_f_b,0.5680946111679078,0.019693636775278148,5,predictive
5,ma_prec,0.5673307538032532,0.01889570418033938,5,predictive
5,ma_rec,0.5834688425064087,0.03906786664302123,5,predictive
5,mae,0.4010600209236145,0.025601134355154827,5,predictive
5,meta_doa,0.4975881515363601,0.009021282868299358,5,interpretability
5,mi_acc,0.6614355206489563,0.0349252463061755,5,predictive
5,mi_auc,0.5296854950087747,0.021839629004212983,5,predictive
5,mi_f_b,0.7672696709632874,0.031896588312616554,5,predictive
5,mi_prec,0.7950687766075134,0.061089454624446086,5,predictive
5,mi_rec,0.7438736081123353,0.008528478487867468,5,predictive
5,pc-er,0.06076049804687498,0.20008714721845436,5,interpretability
5,rm,0.2676725199106274,0.029663390830661863,5,interpretability
5,rmse,0.5053709864616394,0.02742882842640414,5,predictive
6,ma_f_b,0.562299942970276,0.013922349666347589,5,predictive
6,ma_prec,0.562627637386322,0.013860303219118481,5,predictive
6,ma_rec,0.5784366369247437,0.03184297058665762,5,predictive
6,mae,0.3999245584011078,0.02352763173513215,5,predictive
6,meta_doa,0.4973057227767768,0.00807496995863191,5,interpretability
6,mi_acc,0.6611369848251343,0.028192237169373465,5,predictive
6,mi_auc,0.531014729528173,0.014264312718833777,5,predictive
6,mi_f_b,0.7687613129615783,0.026609389703449258,5,predictive
6,mi_prec,0.8014196872711181,0.05526928212147483,5,predictive
6,mi_rec,0.7411416888237,0.007278103067594406,5,predictive
6,pc-er,0.035534667968749975,0.29485057297308565,5,interpretability
6,rm,0.29034874153310675,0.03672851467244661,5,interpretability
6,rmse,0.5045955955982209,0.02328313684089362,5,predictive
7,ma_f_b,0.5593691706657411,0.017275656011458848,5,predictive
7,ma_prec,0.5592811703681946,0.01815973058356364,5,predictive
7,ma_rec,0.5789689421653748,0.04339031261092475,5,predictive
7,mae,0.40004295110702515,0.02748129440366344,5,predictive
7,meta_doa,0.4995135954303002,0.005288061348953059,5,interpretability
7,mi_acc,0.6602038264274597,0.035124038279627276,5,predictive
7,mi_auc,0.5360598637132327,0.013836508381137988,5,predictive
7,mi_f_b,0.7685215711593628,0.031672793801710425,5,predictive
7,mi_prec,0.8036794781684875,0.06257934341770133,5,predictive
7,mi_rec,0.7388472080230714,0.008755876226527834,5,predictive
7,pc-er,0.023901367187499977,0.20595364791674078,5,interpretability
7,rm,0.32010838469826053,0.0243834883614698,5,interpretability
