step,metric,mean,std,n,type
0,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
0,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
0,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
0,mae,0.23111947774887084,0.01214827478398897,5,predictive
0,meta_doa,0.4914937284465327,0.011251011299132056,5,interpretability
0,mi_acc,0.7688805222511291,0.012148277889328015,5,predictive
0,mi_auc,0.723518353739705,0.019165553756889633,5,predictive
0,mi_f_b,0.8434375286102295,0.00905379068511856,5,predictive
0,mi_prec,0.8810641646385193,0.01525800070078337,5,predictive
0,mi_rec,0.8095629334449768,0.00608530727906013,5,predictive
0,pc-er,0.02894287109374999,0.19768929412611383,5,interpretability
0,rm,0.0510747994189336,0.045750816857900015,5,interpretability
0,rmse,0.4805795192718506,0.012559111307465875,5,predictive
1,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
1,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
1,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
1,mae,0.23111947774887084,0.01214827478398897,5,predictive
1,meta_doa,0.4936483248908696,0.01242479080558732,5,interpretability
1,mi_acc,0.7688805222511291,0.012148277889328015,5,predictive
1,mi_auc,0.723518353739705,0.019165553756889633,5,predictive
1,mi_f_b,0.8434375286102295,0.00905379068511856,5,predictive
1,mi_prec,0.8810641646385193,0.01525800070078337,5,predictive
1,mi_rec,0.8095629334449768,0.00608530727906013,5,predictive
1,pc-er,-0.059521484375000024,0.15896683767258468,5,interpretability
1,rm,0.11268830377030067,0.042601814403335006,5,interpretability
1,rmse,0.4805795192718506,0.012559111307465875,5,predictive
2,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
2,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
2,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
2,mae,0.23111947774887084,0.01214827478398897,5,predictive
2,meta_doa,0.4963287061986722,0.011283726416246797,5,interpretability
2,mi_acc,0.7688805222511291,0.012148277889328015,5,predictive
2,mi_auc,0.723518353739705,0.019165553756889633,5,predictive
2,mi_f_b,0.8434375286102295,0.00905379068511856,5,predictive
2,mi_prec,0.8810641646385193,0.01525800070078337,5,predictive
2,mi_rec,0.8095629334449768,0.00608530727906013,5,predictive
2,pc-er,0.05897216796875,0.1273825989890744,5,interpretability
2,rm,0.16308878258718243,0.0071234851340648735,5,interpretability
2,rmse,0.4805795192718506,0.012559111307465875,5,predictive
3,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
3,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
3,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
3,mae,0.23111947774887084,0.01214827478398897,5,predictive
3,meta_doa,0.49548909245536965,0.011062618421396175,5,interpretability
3,mi_acc,0.7688805222511291,0.012148277889328015,5,predictive
3,mi_auc,0.723518353739705,0.019165553756889633,5,predictive
3,mi_f_b,0.8434375286102295,0.00905379068511856,5,predictive
3,mi_prec,0.8810641646385193,0.01525800070078337,5,predictive
3,mi_rec,0.8095629334449768,0.00608530727906013,5,predictive
3,pc-er,0.04099121093750001,0.1850308255018568,5,interpretability
3,rm,0.21343399427320167,0.03182414948896365,5,interpretability
3,rmse,0.4805795192718506,0.012559111307465875,5,predictive
4,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
4,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
4,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
4,mae,0.23111947774887084,0.01214827478398897,5,predictive
4,meta_doa,0.4970293022317723,0.011587413954163982,5,interpretability
4,mi_acc,0.7688805222511291,0.012148277889328015,5,predictive
4,mi_auc,0.723518353739705,0.019165553756889633,5,predictive
4,mi_f_b,0.8434375286102295,0.00905379068511856,5,predictive
4,mi_prec,0.8810641646385193,0.01525800070078337,5,predictive
4,mi_rec,0.8095629334449768,0.00608530727906013,5,predictive
4,pc-er,0.076025390625,0.17585774516261704,5,interpretability
4,rm,0.24254267371251753,0.03117891607900866,5,interpretability
4,rmse,0.4805795192718506,0.012559111307465875,5,predictive
5,ma_f_b,0.7007797837257386,0.013484969389976656,5,predictive
5,ma_prec,0.6903878927230835,0.012321669132088346,5,predictive
5,ma_rec,0.7235183715820312,0.01916556326386349,5,predictive
5,mae,0.23111947774887084,0.01214827478398897,5,predictive
