step,metric,mean,std,n,type
0,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
0,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
0,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
0,mae,0.3923410892486573,0.009235838970888463,5,predictive
0,meta_doa,0.5165481937270272,0.025010868452855092,5,interpretability
0,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
0,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
0,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
0,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
0,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
0,pc-er,0.20618896484375,0.08268286797430284,5,interpretability
0,rm,0.16000831665426118,0.032982987955656476,5,interpretability
0,rmse,0.6263152360916139,0.007894608194316526,5,predictive
1,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
1,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
1,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
1,mae,0.3923410892486573,0.009235838970888463,5,predictive
1,meta_doa,0.5337664275675104,0.01858007679996775,5,interpretability
1,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
1,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
1,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
1,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
1,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
1,pc-er,0.3144287109375,0.11154460539073825,5,interpretability
1,rm,0.20142538657986037,0.035717105577322654,5,interpretability
1,rmse,0.6263152360916139,0.007894608194316526,5,predictive
2,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
2,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
2,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
2,mae,0.3923410892486573,0.009235838970888463,5,predictive
2,meta_doa,0.544558427401246,0.020524109067277148,5,interpretability
2,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
2,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
2,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
2,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
2,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
2,pc-er,0.349072265625,0.16104050460271144,5,interpretability
2,rm,0.2330109560252412,0.03727537478211551,5,interpretability
2,rmse,0.6263152360916139,0.007894608194316526,5,predictive
3,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
3,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
3,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
3,mae,0.3923410892486573,0.009235838970888463,5,predictive
3,meta_doa,0.5515699347457824,0.02186814258407186,5,interpretability
3,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
3,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
3,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
3,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
3,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
3,pc-er,0.3408447265625,0.1677969652938138,5,interpretability
3,rm,0.256033034958577,0.03745918318130585,5,interpretability
3,rmse,0.6263152360916139,0.007894608194316526,5,predictive
4,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
4,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
4,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
4,mae,0.3923410892486573,0.009235838970888463,5,predictive
4,meta_doa,0.5619194621508716,0.021903133572816803,5,interpretability
4,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
4,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
4,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
4,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
4,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
4,pc-er,0.347509765625,0.16585986920290757,5,interpretability
4,rm,0.2779331235823308,0.03822903949676493,5,interpretability
4,rmse,0.6263152360916139,0.007894608194316526,5,predictive
5,ma_f_b,0.5842100858688355,0.01380234080044027,5,predictive
5,ma_prec,0.5845278620719909,0.014663266629599622,5,predictive
5,ma_rec,0.5854719519615175,0.011872686306190521,5,predictive
5,mae,0.3923410892486573,0.009235838970888463,5,predictive
5,meta_doa,0.5701557296037418,0.023877056246868707,5,interpretability
5,mi_acc,0.6076588988304139,0.00923583799111706,5,predictive
5,mi_auc,0.5854719564686299,0.011872674917045911,5,predictive
5,mi_f_b,0.6819738388061524,0.00988994619724152,5,predictive
5,mi_prec,0.6874842047691345,0.02489055547533935,5,predictive
5,mi_rec,0.6775485396385192,0.013812997001335954,5,predictive
