step,metric,mean,std,n,type
0,ma_f_b,0.48557886481285095,0.009933831906009612,5,predictive
0,ma_prec,0.5052415788173676,0.011754954876678922,5,predictive
0,ma_rec,0.5068618655204774,0.007963373016501874,5,predictive
0,mae,0.4310630798339844,0.00416849786447465,5,predictive
0,meta_doa,0.4783144249212735,0.012693327316773204,5,interpretability
0,mi_acc,0.5712622284889222,0.006474628352204292,5,predictive
0,mi_f_b,0.6953181982040405,0.004221444097758857,5,predictive
0,mi_prec,0.7985246300697327,0.009415326682710116,5,predictive
0,mi_rec,0.616079592704773,0.010391215908332491,5,predictive
0,pc-er,0.025086975097656245,0.05394594141036255,5,interpretability
0,rm,-0.022684614278373823,0.05278051398899177,5,interpretability
0,rmse,0.5678153276443482,0.0055904254274671385,5,predictive
1,ma_f_b,0.4853229224681854,0.010269400932404228,5,predictive
1,ma_prec,0.5050219476222992,0.012015544409108873,5,predictive
1,ma_rec,0.5065466165542604,0.008294420939204428,5,predictive
1,mae,0.4310200273990631,0.004177329291343526,5,predictive
1,meta_doa,0.47828615252537343,0.012651133894859713,5,interpretability
1,mi_acc,0.5710556745529175,0.006719177998950996,5,predictive
1,mi_f_b,0.6951694369316102,0.004363600190164342,5,predictive
1,mi_prec,0.798357129096985,0.00946063063591419,5,predictive
1,mi_rec,0.6159491181373596,0.010547342130912676,5,predictive
1,pc-er,0.02511520385742187,0.05394693343367309,5,interpretability
1,rm,-0.02268041579322244,0.05278125064429006,5,interpretability
1,rmse,0.5677542805671691,0.005599342391172339,5,predictive
2,ma_f_b,0.4855054557323456,0.010937111916598076,5,predictive
2,ma_prec,0.5051471769809723,0.012518074024210154,5,predictive
2,ma_rec,0.5067618370056153,0.008910829041187146,5,predictive
2,mae,0.43097415566444397,0.004184351798286269,5,predictive
2,meta_doa,0.47829422143503136,0.012648281282601152,5,interpretability
2,mi_acc,0.5711615681648254,0.007005874340464042,5,predictive
2,mi_f_b,0.695220685005188,0.0043684613103579855,5,predictive
2,mi_prec,0.798357129096985,0.00946063063591419,5,predictive
2,mi_rec,0.6160229444503784,0.01083851745692849,5,predictive
2,pc-er,0.02510147094726562,0.05394501514580749,5,interpretability
2,rm,-0.022674768462620214,0.05278162201500785,5,interpretability
2,rmse,0.5676955580711365,0.005603396740393431,5,predictive
3,ma_f_b,0.4856580436229706,0.010947161034444947,5,predictive
3,ma_prec,0.5053146779537202,0.012413357245799145,5,predictive
3,ma_rec,0.5069976806640626,0.008977849572324675,5,predictive
3,mae,0.4309417366981506,0.00419416165678887,5,predictive
3,meta_doa,0.47829589727639343,0.012638168482255048,5,interpretability
3,mi_acc,0.5713680624961853,0.006831814117041997,5,predictive
3,mi_f_b,0.6954160332679749,0.004159670488809952,5,predictive
3,mi_prec,0.7986921310424806,0.009381773481708013,5,predictive
3,mi_rec,0.6161230444908142,0.010738043174553949,5,predictive
3,pc-er,0.02510299682617187,0.05395177037037925,5,interpretability
3,rm,-0.02267141263427018,0.05278143063959217,5,interpretability
3,rmse,0.5676466703414917,0.005610748632345437,5,predictive
4,ma_f_b,0.48630437850952146,0.010750106129793435,5,predictive
4,ma_prec,0.5058924913406373,0.012265074173130046,5,predictive
4,ma_rec,0.5077853083610535,0.008928131156752651,5,predictive
4,mae,0.4308621406555176,0.0042060105385885,5,predictive
4,meta_doa,0.4782953225752591,0.012632085124373953,5,interpretability
4,mi_acc,0.5718867540359497,0.006879873522991426,5,predictive
4,mi_f_b,0.6957645893096924,0.004491856181101142,5,predictive
4,mi_prec,0.7990376830101014,0.009752677150860404,5,predictive
4,mi_rec,0.6164782047271729,0.010611519378612188,5,predictive
4,pc-er,0.02510757446289062,0.05393341773218473,5,interpretability
4,rm,-0.02266619671554628,0.05278688757892402,5,interpretability
4,rmse,0.567527437210083,0.005614884160167046,5,predictive
5,ma_f_b,0.48666900396347046,0.010434922258893253,5,predictive
5,ma_prec,0.5061702132225038,0.01205862259492209,5,predictive
5,ma_rec,0.5081869244575501,0.008545112671046481,5,predictive
5,mae,0.43080476522445676,0.004209595339131878,5,predictive
5,meta_doa,0.47827621595878506,0.012641611881730951,5,interpretability
5,mi_acc,0.5720947265625,0.006787324201775905,5,predictive
5,mi_f_b,0.6958672881126404,0.004473991105293337,5,predictive
5,mi_prec,0.7990376830101014,0.009752677150860404,5,predictive
5,mi_rec,0.6166414618492126,0.010526851465746856,5,predictive
5,pc-er,0.02508316040039062,0.05388298722658897,5,interpretability
5,rm,-0.02266121462718428,0.052786858823311654,5,interpretability
5,rmse,0.5674273610115051,0.005611448738671534,5,predictive
6,ma_f_b,0.4873318910598755,0.010767363872302366,5,predictive
6,ma_prec,0.5067300438880922,0.012259433503053826,5,predictive
6,ma_rec,0.5089937388896943,0.008908668935440178,5,predictive
6,mae,0.4307320356369019,0.004216736598544383,5,predictive
6,meta_doa,0.4782867428276186,0.012647266767080084,5,interpretability
6,mi_acc,0.5726156234741211,0.007019128414585861,5,predictive
6,mi_f_b,0.696211063861847,0.004581488643580551,5,predictive
6,mi_prec,0.7993693590164186,0.009727112606199552,5,predictive
6,mi_rec,0.6169784069061279,0.010626927649263422,5,predictive
6,pc-er,0.025073242187499994,0.05384191357220147,5,interpretability
6,rm,-0.022658363256836966,0.05279115373868135,5,interpretability
6,rmse,0.567311704158783,0.005610701465319196,5,predictive
7,ma_f_b,0.4875831127166748,0.0109602456624241,5,predictive
7,ma_prec,0.5069470167160035,0.012432192493160856,5,predictive
7,ma_rec,0.5093255400657655,0.009229750142422657,5,predictive
7,mae,0.43066378831863406,0.004217491602141355,5,predictive
7,meta_doa,0.47829695930053007,0.012635046238589038,5,interpretability
7,mi_acc,0.5728225708007812,0.007044830188220046,5,predictive
7,mi_f_b,0.6963615775108337,0.004488118765954495,5,predictive
7,mi_prec,0.7995455503463746,0.00939542978029178,5,predictive
7,mi_rec,0.6171088099479676,0.010691882323960839,5,predictive
7,pc-er,0.02506790161132812,0.05381906724639751,5,interpretability
7,rm,-0.02265627547729356,0.052794459268681454,5,interpretability
7,rmse,0.5672023296356201,0.005608236482604249,5,predictive
8,ma_f_b,0.4877998411655426,0.010681504127856692,5,predictive
8,ma_prec,0.5070398271083832,0.012202312820358175,5,predictive
8,ma_rec,0.5094689130783082,0.00873639126368788,5,predictive
8,mae,0.4305489480495453,0.004215773904421434,5,predictive
8,meta_doa,0.4782964246679978,0.012673092188423366,5,interpretability
8,mi_acc,0.5728230118751526,0.006731059053991844,5,predictive
8,mi_f_b,0.6962682366371155,0.004092455372183907,5,predictive
8,mi_prec,0.7991983294487001,0.00903861784585797,5,predictive
8,mi_rec,0.6171618103981018,0.010591440375825238,5,predictive
8,pc-er,0.02505264282226562,0.0537904607141618,5,interpretability
8,rm,-0.0226503524325972,0.05279319722266975,5,interpretability
8,rmse,0.5670178055763244,0.005601139927503334,5,predictive
9,ma_f_b,0.48856387138366697,0.010995895918663644,5,predictive
9,ma_prec,0.5076460301876069,0.012397165579648069,5,predictive
9,ma_rec,0.5103496074676515,0.009076905682687795,5,predictive
9,mae,0.43042343854904175,0.004214253968111569,5,predictive
9,meta_doa,0.478289722221857,0.012651170526369515,5,interpretability
9,mi_acc,0.5733416318893433,0.006780196856469121,5,predictive
9,mi_f_b,0.6965678095817566,0.0041169659884000105,5,predictive
9,mi_prec,0.799364995956421,0.009217015108573553,5,predictive
9,mi_rec,0.6175289630889893,0.010666851025941669,5,predictive
9,pc-er,0.025059509277343746,0.053768648527626736,5,interpretability
9,rm,-0.022641486714062117,0.05279322089237127,5,interpretability
9,rmse,0.5668254613876342,0.00559782671592712,5,predictive
10,ma_f_b,0.48975757956504823,0.012049507701514143,5,predictive
10,ma_prec,0.5085953474044801,0.0134534584903598,5,predictive
10,ma_rec,0.5117815256118775,0.01045771770178191,5,predictive
10,mae,0.4303070604801178,0.0042206008846568,5,predictive
10,meta_doa,0.4782560522472593,0.012643441426155906,5,interpretability
10,mi_acc,0.5741746544837951,0.007781804376034622,5,predictive
10,mi_f_b,0.6970666527748108,0.004923359029782848,5,predictive
10,mi_prec,0.7997105479240418,0.009598719235658457,5,predictive
10,mi_rec,0.6180981636047364,0.011281865732541878,5,predictive
10,pc-er,0.025038146972656244,0.05374378803654747,5,interpretability
10,rm,-0.02263354605282226,0.052798190772752614,5,interpretability
10,rmse,0.5666435837745667,0.005598314325131341,5,predictive
11,ma_f_b,0.4899419665336609,0.011731290256944651,5,predictive
11,ma_prec,0.5087320566177369,0.013208853646266176,5,predictive
11,ma_rec,0.5119749546051027,0.010170941731652389,5,predictive
11,mae,0.43019008040428164,0.004231414859105586,5,predictive
11,meta_doa,0.4782714086355987,0.012670614989962536,5,interpretability
11,mi_acc,0.5742765545845032,0.007501154550380806,5,predictive
11,mi_f_b,0.6971208214759826,0.004753310382235671,5,predictive
11,mi_prec,0.7997122168540955,0.009561125222261149,5,predictive
11,mi_rec,0.6181804537773132,0.01111942475144565,5,predictive
11,pc-er,0.025039672851562493,0.05376165994741978,5,interpretability
11,rm,-0.022626284137231823,0.05280184054613415,5,interpretability
11,rmse,0.5664580464363098,0.005603934627720967,5,predictive
12,ma_f_b,0.49030648469924926,0.0118878499622758,5,predictive
12,ma_prec,0.5090044379234315,0.013340105626956625,5,predictive
12,ma_rec,0.5123796224594117,0.010245381425205341,5,predictive
12,mae,0.42998744249343873,0.004229014695894267,5,predictive
12,meta_doa,0.4782554210960985,0.01265229802135787,5,interpretability
12,mi_acc,0.5744858026504517,0.007612065228907397,5,predictive
12,mi_f_b,0.6972239375114441,0.004754376095769163,5,predictive
12,mi_prec,0.7997122168540955,0.009561125222261149,5,predictive
12,mi_rec,0.6183411002159118,0.011226474432242204,5,predictive
12,pc-er,0.02504196166992187,0.053775791439628025,5,interpretability
12,rm,-0.02261094811287025,0.05280437515674335,5,interpretability
12,rmse,0.5661755323410034,0.005602091759188816,5,predictive
13,ma_f_b,0.4911644697189331,0.012400107713844121,5,predictive
13,ma_prec,0.5096771359443666,0.013665539158337339,5,predictive
13,ma_rec,0.513301956653595,0.011001446266107029,5,predictive
13,mae,0.42983006238937377,0.004242215075030477,5,predictive
13,meta_doa,0.4782688297041072,0.012644454114609353,5,interpretability
13,mi_acc,0.5750057458877563,0.007968544824075765,5,predictive
13,mi_f_b,0.6974850773811341,0.004906791822744457,5,predictive
13,mi_prec,0.799720072746277,0.009104630855341689,5,predictive
13,mi_rec,0.6187554955482483,0.011343857679674135,5,predictive
13,pc-er,0.02503433227539062,0.05376174301197358,5,interpretability
13,rm,-0.022599538616738385,0.052806347191419356,5,interpretability
13,rmse,0.5659411907196045,0.00561693842100814,5,predictive
14,ma_f_b,0.4914357841014862,0.012197404750173876,5,predictive
14,ma_prec,0.5098533868789674,0.013513548739723092,5,predictive
