step,metric,mean,std,n,type
0,ma_f_b,0.5584524631500244,0.026576567689370962,5,predictive
0,ma_prec,0.5660001993179322,0.01749234237801981,5,predictive
0,ma_rec,0.563926386833191,0.016464120153383274,5,predictive
0,mae,0.4458453953266144,0.02013316585896931,5,predictive
0,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
0,mi_acc,0.5683749675750732,0.03206407963597356,5,predictive
0,mi_f_b,0.6206692218780517,0.04712007355948851,5,predictive
0,mi_prec,0.5817976713180543,0.07486399577097147,5,predictive
0,mi_rec,0.6712549567222595,0.010390483301705193,5,predictive
0,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
0,rmse,0.5194280266761779,0.009535579589282956,5,predictive
1,ma_f_b,0.5561287879943848,0.026342015765776442,5,predictive
1,ma_prec,0.5633811831474305,0.017733464801855704,5,predictive
1,ma_rec,0.5613718867301942,0.01680524309112487,5,predictive
1,mae,0.44611098170280455,0.020377811841489072,5,predictive
1,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
1,mi_acc,0.5661932349205017,0.031660515844035994,5,predictive
1,mi_f_b,0.6192546367645264,0.0459946134616856,5,predictive
1,mi_prec,0.5809237003326417,0.07290080350756331,5,predictive
1,mi_rec,0.6687834143638611,0.010865034796662546,5,predictive
1,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
1,rmse,0.5196379065513611,0.009808260052404927,5,predictive
2,ma_f_b,0.5558640599250794,0.027196580500267444,5,predictive
2,ma_prec,0.563348436355591,0.01842023302589113,5,predictive
2,ma_rec,0.5612974882125855,0.017504951266645533,5,predictive
2,mae,0.44631166458129884,0.020274372212444783,5,predictive
2,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
2,mi_acc,0.5655701160430908,0.03254647490004625,5,predictive
2,mi_f_b,0.6177780032157898,0.04681983291634469,5,predictive
2,mi_prec,0.5782143712043764,0.07335263368369017,5,predictive
2,mi_rec,0.6689385533332824,0.01115581789734424,5,predictive
2,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
2,rmse,0.5198988795280457,0.009434840896595886,5,predictive
3,ma_f_b,0.5565011978149415,0.027147214167825034,5,predictive
3,ma_prec,0.5641390562057496,0.0183291012852236,5,predictive
3,ma_rec,0.5621752858161927,0.01770043904117527,5,predictive
3,mae,0.44611077904701235,0.020529033549080995,5,predictive
3,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
3,mi_acc,0.5664009690284729,0.03284646937321866,5,predictive
3,mi_f_b,0.6185379266738892,0.04809065158676699,5,predictive
3,mi_prec,0.5794206380844117,0.07648067858789794,5,predictive
3,mi_rec,0.6696670413017273,0.010893545293887277,5,predictive
3,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
3,rmse,0.5196848273277282,0.009524177137525259,5,predictive
4,ma_f_b,0.5555866122245788,0.02650392347717405,5,predictive
4,ma_prec,0.5633549809455872,0.017683933479085503,5,predictive
4,ma_rec,0.5613624215126038,0.016740523251995425,5,predictive
4,mae,0.446447366476059,0.020411534556657472,5,predictive
4,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
4,mi_acc,0.5654717564582825,0.03170369941046401,5,predictive
4,mi_f_b,0.6175909042358398,0.047263903246914415,5,predictive
4,mi_prec,0.5782750189304353,0.07498263209353488,5,predictive
4,mi_rec,0.6691754817962646,0.010788105796889857,5,predictive
4,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
4,rmse,0.5199098467826844,0.009805424461628761,5,predictive
5,ma_f_b,0.5571131229400634,0.02668006250553212,5,predictive
5,ma_prec,0.5643301844596864,0.018189355127339976,5,predictive
5,ma_rec,0.5622910737991333,0.01742647336790061,5,predictive
5,mae,0.44603575468063356,0.02014608198455642,5,predictive
5,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
5,mi_acc,0.5671319127082824,0.03202190110880231,5,predictive
5,mi_f_b,0.6200992107391358,0.046099346232074914,5,predictive
5,mi_prec,0.5817545175552369,0.07281543483969816,5,predictive
5,mi_rec,0.6695445418357849,0.010880843255019923,5,predictive
5,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
5,rmse,0.5195948839187622,0.009493173448186811,5,predictive
6,ma_f_b,0.5585264563560486,0.026167660978832337,5,predictive
6,ma_prec,0.566118347644806,0.01716320915033056,5,predictive
6,ma_rec,0.5639374136924744,0.0163564998518019,5,predictive
6,mae,0.44638778567314147,0.02019812216986605,5,predictive
6,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
6,mi_acc,0.5681586265563965,0.031814939597491085,5,predictive
6,mi_f_b,0.6200261950492859,0.04646698377489438,5,predictive
6,mi_prec,0.5802219986915589,0.07343538695455812,5,predictive
6,mi_rec,0.6714971423149109,0.010112714647377759,5,predictive
6,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
6,rmse,0.5199836850166321,0.009583070959977947,5,predictive
7,ma_f_b,0.5557396411895752,0.02565283808164389,5,predictive
7,ma_prec,0.5631293416023255,0.01689222959895205,5,predictive
7,ma_rec,0.5611423373222352,0.015908204588221182,5,predictive
7,mae,0.4465948581695557,0.02039640570932046,5,predictive
7,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
7,mi_acc,0.5656734943389893,0.03114902491794344,5,predictive
7,mi_f_b,0.6182520866394043,0.046246085054129145,5,predictive
7,mi_prec,0.5793266534805299,0.07461372170039797,5,predictive
7,mi_rec,0.6686692833900452,0.010166997051120605,5,predictive
7,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
7,rmse,0.5202754020690918,0.00981977965468139,5,predictive
8,ma_f_b,0.5558209300041199,0.02719835304654141,5,predictive
8,ma_prec,0.5632986307144165,0.01883190156802886,5,predictive
8,ma_rec,0.561267375946045,0.017628759916222963,5,predictive
8,mae,0.44659515619277956,0.020460655443897788,5,predictive
8,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
8,mi_acc,0.565680468082428,0.03183664286786903,5,predictive
8,mi_f_b,0.6180920362472534,0.046234239956684076,5,predictive
8,mi_prec,0.5788844287395478,0.07317233951647713,5,predictive
8,mi_rec,0.6689363718032837,0.0122334067597349,5,predictive
8,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
8,rmse,0.5201105237007141,0.009712990709160416,5,predictive
9,ma_f_b,0.5589809536933898,0.024962098800219934,5,predictive
9,ma_prec,0.5667940497398377,0.015749602674598316,5,predictive
9,ma_rec,0.5646441578865052,0.01508717623417721,5,predictive
9,mae,0.4464310884475708,0.02021519641166843,5,predictive
9,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
9,mi_acc,0.5686792850494384,0.03086317771340509,5,predictive
9,mi_f_b,0.6202987670898438,0.046346949420063954,5,predictive
9,mi_prec,0.5803990364074708,0.07454820510849788,5,predictive
9,mi_rec,0.6723330020904541,0.008978441696602996,5,predictive
9,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
9,rmse,0.519944965839386,0.009492306690712438,5,predictive
10,ma_f_b,0.5565911531448364,0.02723674798171603,5,predictive
10,ma_prec,0.5642815828323365,0.018463105412800208,5,predictive
10,ma_rec,0.5621997714042665,0.01747390812243552,5,predictive
10,mae,0.4463926672935486,0.020016171612934276,5,predictive
10,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
10,mi_acc,0.5661979794502259,0.03234932492388116,5,predictive
10,mi_f_b,0.6179307103157043,0.04694333817373359,5,predictive
10,mi_prec,0.5778817832469941,0.0739719891439306,5,predictive
10,mi_rec,0.6699563026428222,0.0112598413455179,5,predictive
10,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
10,rmse,0.5199795365333557,0.009387374521459877,5,predictive
11,ma_f_b,0.5574589252471924,0.027708505064303595,5,predictive
11,ma_prec,0.5649708271026612,0.018764451330784977,5,predictive
11,ma_rec,0.5629055261611939,0.01762350342395973,5,predictive
11,mae,0.44639703035354616,0.020472830513871443,5,predictive
11,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
11,mi_acc,0.5672358751296998,0.03291827100319885,5,predictive
11,mi_f_b,0.6193716883659363,0.04739595480332647,5,predictive
11,mi_prec,0.5800998985767365,0.07413076200240956,5,predictive
11,mi_rec,0.6702951312065124,0.011444284632357025,5,predictive
11,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
11,rmse,0.519894540309906,0.00965259184953559,5,predictive
12,ma_f_b,0.5592166304588317,0.02440447249206761,5,predictive
12,ma_prec,0.5668390035629274,0.01522883725790017,5,predictive
12,ma_rec,0.564793336391449,0.014429458549885789,5,predictive
12,mae,0.4461595356464386,0.020288457939318685,5,predictive
12,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
12,mi_acc,0.5693088054656983,0.030274461624173864,5,predictive
12,mi_f_b,0.6216615915298462,0.04629251383315611,5,predictive
12,mi_prec,0.5831003487110139,0.07574800582004472,5,predictive
12,mi_rec,0.6721180319786072,0.008655456146660464,5,predictive
12,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
12,rmse,0.5197412610054016,0.009617395590081942,5,predictive
13,ma_f_b,0.5549627900123596,0.025943899126459273,5,predictive
13,ma_prec,0.5623767256736756,0.01737612151573462,5,predictive
13,ma_rec,0.5604470014572145,0.01665550924402677,5,predictive
13,mae,0.44632830619812014,0.02063409407432804,5,predictive
13,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
13,mi_acc,0.5650508284568787,0.03146913643100586,5,predictive
13,mi_f_b,0.6178833603858948,0.046606431336378096,5,predictive
13,mi_prec,0.579381686449051,0.07455789257289906,5,predictive
13,mi_rec,0.6680052280426025,0.010555905351471995,5,predictive
13,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
13,rmse,0.5198958277702331,0.009806442074021192,5,predictive
14,ma_f_b,0.5563139081001282,0.026526970539784867,5,predictive
14,ma_prec,0.5637077093124391,0.017658672568410232,5,predictive
14,ma_rec,0.5617188453674318,0.016598192944100587,5,predictive
14,mae,0.44601076245307925,0.020185430220720096,5,predictive
14,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
14,mi_acc,0.5663054704666137,0.03190745372070222,5,predictive
14,mi_f_b,0.6190089344978332,0.046794532756412,5,predictive
14,mi_prec,0.5804209172725678,0.07441309514823831,5,predictive
14,mi_rec,0.6691041588783264,0.010399413405958626,5,predictive
14,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
14,rmse,0.5195767879486084,0.009593404605695655,5,predictive
15,ma_f_b,0.5570610761642456,0.02507800499055144,5,predictive
15,ma_prec,0.564607346057892,0.016681860367655434,5,predictive
15,ma_rec,0.5625783801078797,0.016260920477783464,5,predictive
15,mae,0.44605066180229186,0.020279160469256343,5,predictive
15,meta_doa,-3.3306690738754695e-17,0.01296192991358737,5,interpretability
15,mi_acc,0.5670189142227173,0.030760934068916595,5,predictive
15,mi_f_b,0.6193864464759826,0.04599285297187694,5,predictive
15,mi_prec,0.5803484022617341,0.07474368556091159,5,predictive
15,mi_rec,0.6701804637908936,0.010158364920123964,5,predictive
15,rm,-1.3877787807814458e-18,0.03510858654332021,5,interpretability
15,rmse,0.5198071360588074,0.009477490557244101,5,predictive
