step,metric,mean,std,n,type
0,ma_f_b,0.5307587385177612,0.02811692359142528,5,predictive
0,ma_prec,0.5472060203552247,0.019153392290875426,5,predictive
0,ma_rec,0.5455549359321595,0.017496377969294305,5,predictive
0,mae,0.45695577263832093,0.01752230629805107,5,predictive
0,meta_doa,0.49014009861925895,0.02121706532226043,5,interpretability
0,mi_acc,0.5334738790988922,0.031078167410389126,5,predictive
0,mi_f_b,0.5612482309341431,0.04351702376042201,5,predictive
0,mi_prec,0.48983199596405036,0.06266958838747476,5,predictive
0,mi_rec,0.662190568447113,0.01535099732982144,5,predictive
0,pc-er,-0.022949218750000007,0.06453942864178756,5,interpretability
0,rm,0.002566062880383008,0.04060181623427139,5,interpretability
0,rmse,0.5351924896240234,0.010597457484909065,5,predictive
1,ma_f_b,0.5315090477466583,0.02667509108910769,5,predictive
1,ma_prec,0.547751796245575,0.017552964025523417,5,predictive
1,ma_rec,0.5460644364356996,0.01612386373640453,5,predictive
1,mae,0.45636539459228515,0.0177101044079818,5,predictive
1,meta_doa,0.49279423329713345,0.013809718837504842,5,interpretability
1,mi_acc,0.5343050122261047,0.029766023404394028,5,predictive
1,mi_f_b,0.562666940689087,0.0423076569648048,5,predictive
1,mi_prec,0.4916830062866212,0.061595191010004595,5,predictive
1,mi_rec,0.6627087712287902,0.01340199208525341,5,predictive
1,pc-er,-0.04462289810180665,0.0443714157444157,5,interpretability
1,rm,0.017892292204216613,0.01957340032107152,5,interpretability
1,rmse,0.5348369836807251,0.010670812100630851,5,predictive
2,ma_f_b,0.5313663065433503,0.026577447800915772,5,predictive
2,ma_prec,0.5475958347320558,0.017606056330048466,5,predictive
2,ma_rec,0.5459148764610291,0.016111796494723385,5,predictive
2,mae,0.45585384368896487,0.017771290571323033,5,predictive
2,meta_doa,0.4940319499442859,0.012334482645420693,5,interpretability
2,mi_acc,0.5342034578323365,0.02962196243056483,5,predictive
2,mi_f_b,0.5625850915908813,0.04236965205211939,5,predictive
2,mi_prec,0.4916586458683015,0.062142042796545456,5,predictive
2,mi_rec,0.6625573754310607,0.013632370961159232,5,predictive
2,pc-er,-0.010299682617187505,0.060525200871426155,5,interpretability
2,rm,0.016836173714931395,0.015674179337596725,5,interpretability
2,rmse,0.5345890998840332,0.010723152450448553,5,predictive
3,ma_f_b,0.5315659403800964,0.025435977931027417,5,predictive
3,ma_prec,0.5478901505470277,0.016376486605956402,5,predictive
3,ma_rec,0.5462027788162233,0.015004227665079922,5,predictive
3,mae,0.4554164528846741,0.017867432088494548,5,predictive
3,meta_doa,0.49326649226981384,0.015621591227142583,5,interpretability
3,mi_acc,0.5344101190567017,0.028642109647335733,5,predictive
3,mi_f_b,0.5626947402954101,0.04184776889802922,5,predictive
3,mi_prec,0.4916438460350038,0.062015622604903425,5,predictive
3,mi_rec,0.6629815578460694,0.012603447015258024,5,predictive
3,pc-er,-0.014874267578125006,0.06997866681733747,5,interpretability
3,rm,0.01857369078999265,0.017383037165161534,5,interpretability
3,rmse,0.5343722701072693,0.010735053746680535,5,predictive
4,ma_f_b,0.532913339138031,0.027206247842414804,5,predictive
4,ma_prec,0.5492879033088685,0.018261608262957623,5,predictive
4,ma_rec,0.5475877046585084,0.016482892929103096,5,predictive
4,mae,0.4548334300518036,0.01800691447003536,5,predictive
4,meta_doa,0.4934113555204992,0.009614225727694194,5,interpretability
4,mi_acc,0.5357684016227722,0.029897560874927655,5,predictive
4,mi_f_b,0.5638848543167114,0.04249342394374469,5,predictive
4,mi_prec,0.4926831007003785,0.06273821916414841,5,predictive
4,mi_rec,0.6644164085388183,0.014198307706545859,5,predictive
4,pc-er,0.014636230468749997,0.06114273006077307,5,interpretability
4,rm,0.022818679919743755,0.027991786499192657,5,interpretability
4,rmse,0.5341233611106873,0.010631343779132477,5,predictive
5,ma_f_b,0.533911156654358,0.027081374726552768,5,predictive
5,ma_prec,0.5504243373870851,0.01819375801281993,5,predictive
5,ma_rec,0.5486887216567994,0.01646138847231713,5,predictive
5,mae,0.4541310787200928,0.01816210967535963,5,predictive
5,meta_doa,0.4933009712777225,0.008157610584545031,5,interpretability
5,mi_acc,0.536699402332306,0.029880572004533052,5,predictive
5,mi_f_b,0.56445472240448,0.04248401992701575,5,predictive
5,mi_prec,0.49282953143119823,0.06310299540047529,5,predictive
5,mi_rec,0.6656432628631592,0.014078196697384186,5,predictive
5,pc-er,-0.0024353027343750056,0.07006615758221069,5,interpretability
5,rm,0.019007951746827477,0.035693268410892806,5,interpretability
5,rmse,0.5338060140609742,0.01078214814122509,5,predictive
6,ma_f_b,0.5364108800888061,0.02750084782145276,5,predictive
6,ma_prec,0.552922010421753,0.0186707889127733,5,predictive
6,ma_rec,0.5510679006576539,0.01728748532114365,5,predictive
6,mae,0.45360383987426756,0.01821516570512136,5,predictive
6,meta_doa,0.4934000502581073,0.00976126614085743,5,interpretability
6,mi_acc,0.5391862988471985,0.03070374978483276,5,predictive
6,mi_f_b,0.5669215083122253,0.043404921602218545,5,predictive
6,mi_prec,0.49517579674720774,0.0642656950112789,5,predictive
6,mi_rec,0.6680680990219117,0.01401070865011342,5,predictive
6,pc-er,-0.010058593750000006,0.06853534297857886,5,interpretability
6,rm,0.016398395393572473,0.03311110241995094,5,interpretability
6,rmse,0.5335811495780944,0.010853044242452828,5,predictive
7,ma_f_b,0.5380656242370605,0.028184618341555875,5,predictive
7,ma_prec,0.5546099424362183,0.01930311509712877,5,predictive
7,ma_rec,0.5527007102966309,0.017961874570202725,5,predictive
7,mae,0.4531271278858185,0.01815061365971469,5,predictive
7,meta_doa,0.48948199442130236,0.007317017310206915,5,interpretability
7,mi_acc,0.5408514261245727,0.03132206719804979,5,predictive
7,mi_f_b,0.5685387492179871,0.043920064574721945,5,predictive
7,mi_prec,0.4967072904109956,0.0647644639856106,5,predictive
7,mi_rec,0.6697729706764222,0.014155704187021856,5,predictive
7,pc-er,-0.031118774414062505,0.07117121924381928,5,interpretability
7,rm,0.02038714888312129,0.03263651288396564,5,interpretability
7,rmse,0.5333831429481506,0.010822540759313689,5,predictive
8,ma_f_b,0.5380993604660034,0.027540725693586832,5,predictive
8,ma_prec,0.5545090556144715,0.018591300840480305,5,predictive
8,ma_rec,0.5525942564010621,0.017247100655188398,5,predictive
