step,metric,mean,std,n,type
0,ma_f_b,0.4655750334262848,0.011872607526884887,5,predictive
0,ma_prec,0.5197529315948487,0.013369135921270408,5,predictive
0,ma_rec,0.5555315852165224,0.030956597826314346,5,predictive
0,mae,0.4043418884277344,0.002029663539173363,5,predictive
0,meta_doa,0.48210047164803005,0.022654431553986047,5,interpretability
0,mi_acc,0.6108259201049805,0.005136752403896062,5,predictive
0,mi_f_b,0.7441086173057556,0.003650071881947773,5,predictive
0,mi_prec,0.9235850214958191,0.01504779705508645,5,predictive
0,mi_rec,0.6231900453567505,0.011126868357584477,5,predictive
0,pc-er,0.031139755249023432,0.05250424999149974,5,interpretability
0,rm,0.007428765695732266,0.0471211059103964,5,interpretability
0,rmse,0.5673401236534119,0.0050598918117086365,5,predictive
1,ma_f_b,0.49906572699546814,0.012063687776262736,5,predictive
1,ma_prec,0.5359962105751038,0.01338736275184452,5,predictive
1,ma_rec,0.5784941911697389,0.020043125303747387,5,predictive
1,mae,0.400031054019928,0.002180898341515388,5,predictive
1,meta_doa,0.48598044683283215,0.022264014586444617,5,interpretability
1,mi_acc,0.619045889377594,0.005362335255654708,5,predictive
1,mi_f_b,0.7441339492797852,0.002549159991561576,5,predictive
1,mi_prec,0.9042333960533142,0.01427998768299582,5,predictive
1,mi_rec,0.6323445558547973,0.011462965348538395,5,predictive
1,pc-er,-0.0018356323242187528,0.07249142797022659,5,interpretability
1,rm,0.019222424655719206,0.03995782406069771,5,interpretability
1,rmse,0.5579810500144958,0.005394467860360421,5,predictive
2,ma_f_b,0.5204558372497559,0.013136441063118334,5,predictive
2,ma_prec,0.547613275051117,0.014051584645038731,5,predictive
2,ma_rec,0.5901800394058229,0.01548219385567823,5,predictive
2,mae,0.3965866148471832,0.0026059697805754485,5,predictive
2,meta_doa,0.4807025086895629,0.0213893077531598,5,interpretability
2,mi_acc,0.6250722646713257,0.0053076356065106965,5,predictive
2,mi_f_b,0.7443235635757446,0.002612278287472392,5,predictive
2,mi_prec,0.8908167481422424,0.014777673152074072,5,predictive
2,mi_rec,0.6393220067024231,0.011943798401874747,5,predictive
2,pc-er,-0.0008941650390625056,0.09396245546225705,5,interpretability
2,rm,0.02654525947480223,0.02920102734809413,5,interpretability
2,rmse,0.5508374452590943,0.005731539040960393,5,predictive
