step,metric,mean,std,n,type
0,ma_f_b,0.6594718813896179,0.014008903126572594,5,predictive
0,ma_prec,0.6602423548698425,0.011321563303470302,5,predictive
0,ma_rec,0.6764744877815246,0.008968720283948316,5,predictive
0,mae,0.3367055177688599,0.008363321433172938,5,predictive
0,meta_doa,0.5181080285262472,0.007324742513521573,5,interpretability
0,mi_acc,0.6753761649131775,0.0075581902345240445,5,predictive
0,mi_auc,0.6822343153857504,0.007522455431853351,5,predictive
0,mi_f_b,0.588258671760559,0.033730678340162065,5,predictive
0,mi_prec,0.5267921090126038,0.06098100476770061,5,predictive
0,mi_rec,0.6744382381439209,0.026729771812169286,5,predictive
0,pc-er,0.02089233398437499,0.060675989122034056,5,interpretability
0,rm,0.17812559821158078,0.023145491838930658,5,interpretability
0,rmse,0.5183441996574402,0.01051346128566937,5,predictive
1,ma_f_b,0.6422662019729615,0.017756904603360494,5,predictive
1,ma_prec,0.6424339175224304,0.017430532103855367,5,predictive
1,ma_rec,0.6530325055122376,0.01778625589131392,5,predictive
1,mae,0.3508400499820709,0.01199151574685086,5,predictive
1,meta_doa,0.5405450047309425,0.008031153411632661,5,interpretability
1,mi_acc,0.6563427686691286,0.016384730550214666,5,predictive
1,mi_auc,0.6477168202138022,0.01104825368815726,5,predictive
1,mi_f_b,0.572027540206909,0.02582800863535318,5,predictive
1,mi_prec,0.5183750569820404,0.03746121513822338,5,predictive
1,mi_rec,0.6399447083473205,0.023579098004483955,5,predictive
1,pc-er,0.112078857421875,0.2255745314319576,5,interpretability
1,rm,0.2856326994886736,0.021006867241217884,5,interpretability
1,rmse,0.5458989858627319,0.018327410695702616,5,predictive
2,ma_f_b,0.6470163822174072,0.017947631794582055,5,predictive
2,ma_prec,0.6479503989219666,0.015943333337274764,5,predictive
2,ma_rec,0.6614205956459045,0.01174692724784239,5,predictive
2,mae,0.3439561426639557,0.009181240163175074,5,predictive
2,meta_doa,0.5548055618059796,0.009909341197819426,5,interpretability
2,mi_acc,0.6628201007843019,0.011808495869024252,5,predictive
2,mi_auc,0.6623471252782027,0.018163334691660933,5,predictive
2,mi_f_b,0.5745497703552245,0.037204460754041165,5,predictive
2,mi_prec,0.5171386897563934,0.06200293833148327,5,predictive
2,mi_rec,0.6528923630714416,0.020003347852176275,5,predictive
2,pc-er,0.09347610473632811,0.23364269015928354,5,interpretability
2,rm,0.29594850901359504,0.034367967495390166,5,interpretability
2,rmse,0.5306981086730957,0.018649987739999947,5,predictive
3,ma_f_b,0.6494643926620484,0.017801569867047402,5,predictive
3,ma_prec,0.6502861261367798,0.016102513456792044,5,predictive
3,ma_rec,0.6643178105354309,0.01560198159335818,5,predictive
3,mae,0.34124164581298827,0.012342799770908339,5,predictive
3,meta_doa,0.5736663269514535,0.009376568341253695,5,interpretability
3,mi_acc,0.6650323629379273,0.0140182936930264,5,predictive
3,mi_auc,0.6704255588995053,0.016336372891028333,5,predictive
3,mi_f_b,0.5779740452766418,0.035051303445588565,5,predictive
3,mi_prec,0.5205970287322998,0.05983359359338062,5,predictive
3,mi_rec,0.6569473028182984,0.029063545854514677,5,predictive
3,pc-er,0.165423583984375,0.3309562797909308,5,interpretability
3,rm,0.4170772340568634,0.03328197043632453,5,interpretability
3,rmse,0.5251178503036499,0.019620174839645597,5,predictive
4,ma_f_b,0.6535167098045349,0.016074692686973716,5,predictive
4,ma_prec,0.6542141079902649,0.014013373370320577,5,predictive
4,ma_rec,0.6684176087379455,0.010016990198737445,5,predictive
4,mae,0.3401115894317627,0.009942117729247671,5,predictive
4,meta_doa,0.5686796888040216,0.011716584790228732,5,interpretability
4,mi_acc,0.6690184235572816,0.010216193723270707,5,predictive
4,mi_auc,0.6754020588075065,0.01698291182317965,5,predictive
4,mi_f_b,0.5822373270988463,0.03427473225534385,5,predictive
4,mi_prec,0.5233904123306274,0.05845705045164106,5,predictive
4,mi_rec,0.6624042630195618,0.02047766859073907,5,predictive
4,pc-er,0.0322265625,0.17603549303966215,5,interpretability
4,rm,0.36929010741688667,0.03074171621411086,5,interpretability
4,rmse,0.5225270628929138,0.015865428349034018,5,predictive
5,ma_f_b,0.6524593591690063,0.01720114890952922,5,predictive
5,ma_prec,0.6532571911811829,0.015411832493747073,5,predictive
5,ma_rec,0.6679618000984192,0.013659542891149842,5,predictive
5,mae,0.33936420679092405,0.009812091076652906,5,predictive
5,meta_doa,0.5786158364471279,0.012083101866391088,5,interpretability
5,mi_acc,0.6682809829711915,0.01260064492114002,5,predictive
5,mi_auc,0.6787734632913099,0.015204669225472133,5,predictive
5,mi_f_b,0.5803651452064513,0.03446941598099587,5,predictive
5,mi_prec,0.5205085575580597,0.05817356766390091,5,predictive
5,mi_rec,0.6625846266746521,0.025569358331969445,5,predictive
5,pc-er,0.2041748046875,0.34423835565011596,5,interpretability
5,rm,0.42136941994900046,0.02996833593782995,5,interpretability
5,rmse,0.5209884762763977,0.013922634037888846,5,predictive
6,ma_f_b,0.6549816131591797,0.01356965093184517,5,predictive
6,ma_prec,0.655759334564209,0.01143034131985542,5,predictive
6,ma_rec,0.6711904525756835,0.009501121602989137,5,predictive
6,mae,0.33801294565200807,0.007988617417275244,5,predictive
6,meta_doa,0.5909417902603502,0.013948070337290307,5,interpretability
6,mi_acc,0.6709317207336427,0.00821054534352873,5,predictive
6,mi_auc,0.67922078854591,0.009108779567512276,5,predictive
6,mi_f_b,0.582789123058319,0.03132173806422619,5,predictive
6,mi_prec,0.521403294801712,0.055822466816946394,5,predictive
6,mi_rec,0.6675230383872985,0.02405557703686718,5,predictive
6,pc-er,0.29768066406250004,0.20200941446866114,5,interpretability
6,rm,0.4664862079357975,0.036526738585597913,5,interpretability
6,rmse,0.5177543640136719,0.011568150554965425,5,predictive
7,ma_f_b,0.6543674468994141,0.012235116530078161,5,predictive
7,ma_prec,0.6551316738128662,0.010460012232801944,5,predictive
7,ma_rec,0.6710177898406983,0.012071293445260745,5,predictive
7,mae,0.33725359439849856,0.008655701649649681,5,predictive
7,meta_doa,0.5994807381009137,0.012255201839041014,5,interpretability
7,mi_acc,0.6704334735870362,0.008988161271921287,5,predictive
7,mi_auc,0.6857083058333824,0.008990359797914925,5,predictive
7,mi_f_b,0.5818923830986023,0.02874395793869096,5,predictive
7,mi_prec,0.5198926568031311,0.053799491106101625,5,predictive
7,mi_rec,0.6679344177246094,0.029046202805057222,5,predictive
7,pc-er,0.227008056640625,0.15554024116513665,5,interpretability
7,rm,0.4834070844705237,0.037271491814859975,5,interpretability
7,rmse,0.5171243071556091,0.01102084947820525,5,predictive
8,ma_f_b,0.657898199558258,0.01569112575942161,5,predictive
8,ma_prec,0.6586383700370788,0.01390978032349042,5,predictive
8,ma_rec,0.6751164436340332,0.014647035573025798,5,predictive
8,mae,0.33594417572021484,0.008583150942508335,5,predictive
8,meta_doa,0.6101304054646632,0.013689081268084272,5,interpretability
8,mi_acc,0.6740009665489197,0.01221345979654373,5,predictive
8,mi_auc,0.6826370790287535,0.015505300794560684,5,predictive
8,mi_f_b,0.585740029811859,0.03193588512021294,5,predictive
8,mi_prec,0.5227514564990997,0.05623477548851672,5,predictive
8,mi_rec,0.6735868930816651,0.030919504976007435,5,predictive
8,pc-er,0.25747070312500003,0.14163064736889153,5,interpretability
8,rm,0.5024497331195606,0.03751432094225554,5,interpretability
8,rmse,0.5154171586036682,0.009911496405004723,5,predictive
9,ma_f_b,0.6593525886535645,0.013756471941944345,5,predictive
9,ma_prec,0.6600489616394043,0.011323067933508204,5,predictive
9,ma_rec,0.6759795188903809,0.00939821989175057,5,predictive
9,mae,0.3355037093162537,0.008289080162453655,5,predictive
9,meta_doa,0.5955781201084306,0.011066297455404002,5,interpretability
9,mi_acc,0.6751170635223389,0.008183885996259705,5,predictive
9,mi_auc,0.6844460856060912,0.010158841047683758,5,predictive
9,mi_f_b,0.5882858991622923,0.032397578408632687,5,predictive
9,mi_prec,0.5269460022449494,0.05874166496305114,5,predictive
9,mi_rec,0.6735937237739563,0.025902621258602453,5,predictive
9,pc-er,0.01016845703124999,0.2199012273205644,5,interpretability
9,rm,0.4491238248333504,0.02821095872781684,5,interpretability
9,rmse,0.5142869472503662,0.01001185324603933,5,predictive
10,ma_f_b,0.6604719042778016,0.013992313285293774,5,predictive
10,ma_prec,0.6611138224601746,0.011753942326674354,5,predictive
10,ma_rec,0.6772680759429932,0.010577030320812973,5,predictive
10,mae,0.3348420441150665,0.008424384047657938,5,predictive
10,meta_doa,0.6057053552104258,0.014179219943885775,5,interpretability
10,mi_acc,0.6762331485748292,0.008797134602641407,5,predictive
10,mi_auc,0.6902926060873494,0.008521008979891612,5,predictive
10,mi_f_b,0.5895112514495848,0.03218872313892566,5,predictive
