step,metric,mean,std,n,type
0,ma_f_b,0.665672767162323,0.014902500135967878,5,predictive
0,ma_prec,0.668358051776886,0.01568616523069904,5,predictive
0,ma_rec,0.6703234314918518,0.014375985855219663,5,predictive
0,mae,0.32986546158790586,0.014202635278407538,5,predictive
0,meta_doa,0.5396273168429585,0.009625687476883265,5,interpretability
0,mi_acc,0.6701345086097719,0.014202656983482494,5,predictive
0,mi_auc,0.6703234225346696,0.014375961646104005,5,predictive
0,mi_f_b,0.636172878742218,0.033152553521121716,5,predictive
0,mi_prec,0.6555348038673401,0.08112469306916818,5,predictive
0,mi_rec,0.6251368880271911,0.027201855253898264,5,predictive
0,pc-er,0.05100097656249999,0.022230679712281556,5,interpretability
0,rm,0.3683713384595853,0.01407267256820805,5,interpretability
0,rmse,0.5741793274879455,0.01240168404194493,5,predictive
1,ma_f_b,0.6662326455116272,0.013995063896245661,5,predictive
1,ma_prec,0.6690054655075073,0.015049957848628443,5,predictive
1,ma_rec,0.6709397792816162,0.013462394211508678,5,predictive
1,mae,0.3293472766876221,0.012928873146155232,5,predictive
1,meta_doa,0.5638074466081345,0.008538232950382458,5,interpretability
1,mi_acc,0.6706526875495912,0.012928879945444756,5,predictive
1,mi_auc,0.6709397877232031,0.013462398642979467,5,predictive
1,mi_f_b,0.6371256232261657,0.03341397659054455,5,predictive
1,mi_prec,0.6574573636054992,0.08210838266870743,5,predictive
1,mi_rec,0.6252463459968567,0.025937616671829936,5,predictive
1,pc-er,0.06294555664062498,0.023960733379866477,5,interpretability
1,rm,0.4349031994068648,0.014319207654084906,5,interpretability
1,rmse,0.5737491965293884,0.011319516717423978,5,predictive
2,ma_f_b,0.6670443892478943,0.01450204355279851,5,predictive
2,ma_prec,0.6699033379554749,0.015860554894308893,5,predictive
2,ma_rec,0.6718990564346313,0.014293198133607963,5,predictive
2,mae,0.3285301387310028,0.013202695078183101,5,predictive
2,meta_doa,0.5833186828972093,0.008810006632968026,5,interpretability
2,mi_acc,0.6714698314666749,0.01320270196142367,5,predictive
2,mi_auc,0.6718990513802232,0.014293168749881105,5,predictive
2,mi_f_b,0.6381868720054625,0.03457335988799886,5,predictive
2,mi_prec,0.6591930031776428,0.08417937868995705,5,predictive
2,mi_rec,0.6258380889892579,0.0255600322876062,5,predictive
2,pc-er,0.059844970703124986,0.02219912570287458,5,interpretability
2,rm,0.48367865161110685,0.015037136295830849,5,interpretability
2,rmse,0.5730351328849792,0.01157899074569767,5,predictive
3,ma_f_b,0.6674722552299499,0.013799468277891686,5,predictive
3,ma_prec,0.6705196142196655,0.015282925313265453,5,predictive
3,ma_rec,0.672601318359375,0.013592697063125676,5,predictive
3,mae,0.3281315267086029,0.012340892142359675,5,predictive
3,meta_doa,0.6000446077835077,0.007813251407726858,5,interpretability
3,mi_acc,0.6718684315681458,0.012340889851373132,5,predictive
3,mi_auc,0.6726013317876982,0.013592704239655543,5,predictive
3,mi_f_b,0.6393233537673949,0.0347592589005115,5,predictive
3,mi_prec,0.6619110226631164,0.08586887237664656,5,predictive
3,mi_rec,0.62581866979599,0.025256079295135906,5,predictive
3,pc-er,0.05947265624999999,0.022002802196226617,5,interpretability
3,rm,0.5269189093911919,0.01403124497751528,5,interpretability
3,rmse,0.5726995229721069,0.010838433432819206,5,predictive
4,ma_f_b,0.6684098482131958,0.013571214958524275,5,predictive
4,ma_prec,0.6714577317237854,0.015128366896954648,5,predictive
4,ma_rec,0.6735601663589478,0.01357768332926468,5,predictive
4,mae,0.32721473574638366,0.012186588704805408,5,predictive
4,meta_doa,0.6156119926629218,0.00831877801102448,5,interpretability
4,mi_acc,0.6727852225303651,0.012186610920242206,5,predictive
4,mi_auc,0.6735601669905729,0.013577682093433106,5,predictive
4,mi_f_b,0.6404151797294616,0.03446573395742601,5,predictive
4,mi_prec,0.6631471633911132,0.08584329421751329,5,predictive
4,mi_rec,0.6267439842224121,0.025270569845646622,5,predictive
4,pc-er,0.06142578124999999,0.024068539623182082,5,interpretability
4,rm,0.5672695484810458,0.013904809187732771,5,interpretability
4,rmse,0.5719011902809144,0.010708997854014987,5,predictive
5,ma_f_b,0.6694376468658447,0.013894485721739454,5,predictive
5,ma_prec,0.6725090503692627,0.015513785662084514,5,predictive
5,ma_rec,0.6747696757316589,0.01338505728910974,5,predictive
5,mae,0.3260388493537903,0.011846740980931981,5,predictive
5,meta_doa,0.6281264600832167,0.00843819252938484,5,interpretability
5,mi_acc,0.673961102962494,0.011846755300255907,5,predictive
5,mi_auc,0.6747696853133859,0.013385061879239537,5,predictive
5,mi_f_b,0.6411127924919128,0.035985592968045425,5,predictive
5,mi_prec,0.6633261919021607,0.08835059918644926,5,predictive
5,mi_rec,0.6281935930252075,0.02447528852694945,5,predictive
5,pc-er,0.06416625976562498,0.02525348232235051,5,interpretability
5,rm,0.6024334467913095,0.013413696259436975,5,interpretability
5,rmse,0.5708729505538941,0.010438527233450772,5,predictive
6,ma_f_b,0.6705574512481689,0.012716333058473408,5,predictive
6,ma_prec,0.6736116290092469,0.014306677138589297,5,predictive
6,ma_rec,0.6759620547294617,0.011758561924610769,5,predictive
6,mae,0.32486297488212584,0.01036449490505859,5,predictive
6,meta_doa,0.6395615291859007,0.008117519705315329,5,interpretability
6,mi_acc,0.6751370072364808,0.0103645031574396,5,predictive
6,mi_auc,0.6759620640188936,0.011758528721349948,5,predictive
6,mi_f_b,0.6421514511108397,0.0354557672280652,5,predictive
6,mi_prec,0.6639689922332763,0.08845101151602192,5,predictive
6,mi_rec,0.6296863198280335,0.024110339039121995,5,predictive
6,pc-er,0.06917114257812498,0.0271385490466863,5,interpretability
6,rm,0.6339354926572536,0.012927128151198775,5,interpretability
6,rmse,0.5698614120483398,0.00914532345656391,5,predictive
7,ma_f_b,0.6717208623886108,0.0122976056129567,5,predictive
7,ma_prec,0.6747174382209777,0.013777418767566696,5,predictive
7,ma_rec,0.6771230340003968,0.011562584247663139,5,predictive
7,mae,0.3237070143222809,0.010371698125284972,5,predictive
7,meta_doa,0.6488755312553788,0.007925409085482702,5,interpretability
7,mi_acc,0.6762929558753968,0.010371701561398364,5,predictive
7,mi_auc,0.6771230334112508,0.011562564396656577,5,predictive
7,mi_f_b,0.6433552145957946,0.034280958517275924,5,predictive
7,mi_prec,0.6647598505020141,0.08740215416967517,5,predictive
7,mi_rec,0.6311679601669311,0.024938188711110608,5,predictive
7,pc-er,0.072607421875,0.027630338842291678,5,interpretability
7,rm,0.662097293579379,0.01322157103562284,5,interpretability
7,rmse,0.5688417315483093,0.009172081061836526,5,predictive
8,ma_f_b,0.6727605938911438,0.01148300296419997,5,predictive
8,ma_prec,0.6757210493087769,0.013105765687688871,5,predictive
8,ma_rec,0.678074300289154,0.01053972253366511,5,predictive
8,mae,0.3226905643939972,0.009156504427531173,5,predictive
