step,metric,mean,std,n,type
0,ma_f_b,0.6780028104782104,0.008300236412898569,5,predictive
0,ma_prec,0.6773607611656189,0.007880567793246905,5,predictive
0,ma_rec,0.6812964081764221,0.010494601298423039,5,predictive
0,mae,0.3152366578578949,0.009940698220553785,5,predictive
0,meta_doa,0.5402515675887809,0.010509304626594657,5,interpretability
0,mi_acc,0.6847633004188538,0.009940711796018187,5,predictive
0,mi_auc,0.6812963864043192,0.010494602684654006,5,predictive
0,mi_f_b,0.6322067737579344,0.008346978966374069,5,predictive
0,mi_prec,0.6104300856590271,0.02476131845244158,5,predictive
0,mi_rec,0.6573290705680848,0.021276947129328372,5,predictive
0,pc-er,0.06621704101562499,0.030236662401123625,5,interpretability
0,rm,0.38105766349006515,0.0202313903961536,5,interpretability
0,rmse,0.5613944053649902,0.008845363691824058,5,predictive
1,ma_f_b,0.6807835221290588,0.009113759979352558,5,predictive
1,ma_prec,0.6800043821334839,0.00861469368730478,5,predictive
1,ma_rec,0.684369969367981,0.011504185477508094,5,predictive
1,mae,0.31224712133407595,0.010838207465268996,5,predictive
1,meta_doa,0.5657931948756383,0.011421385224598877,5,interpretability
1,mi_acc,0.6877528309822083,0.01083819243826231,5,predictive
1,mi_auc,0.6843699546795947,0.011504176199752554,5,predictive
1,mi_f_b,0.634274399280548,0.007109327020017185,5,predictive
1,mi_prec,0.6098195075988769,0.020251246747838136,5,predictive
1,mi_rec,0.6622604727745056,0.022026395370656655,5,predictive
1,pc-er,0.0663818359375,0.043366867569348204,5,interpretability
1,rm,0.44995489293811797,0.019192108641569085,5,interpretability
1,rmse,0.5587154030799866,0.009678029636889213,5,predictive
2,ma_f_b,0.6834849715232849,0.007884285667469465,5,predictive
2,ma_prec,0.6826016545295716,0.007283944565431536,5,predictive
2,ma_rec,0.6870188236236572,0.010148688278199593,5,predictive
2,mae,0.3095366060733795,0.00961835528477874,5,predictive
2,meta_doa,0.5871664873824001,0.011525142436597522,5,interpretability
2,mi_acc,0.6904633402824403,0.009618360607955283,5,predictive
2,mi_auc,0.6870188406572366,0.010148692787763692,5,predictive
2,mi_f_b,0.6370376348495482,0.0046079637007906925,5,predictive
2,mi_prec,0.6117650508880615,0.01644161976833062,5,predictive
2,mi_rec,0.6656313419342041,0.020021070998488558,5,predictive
2,pc-er,0.06506347656249999,0.04127522511882955,5,interpretability
2,rm,0.501095324638987,0.018509518829626117,5,interpretability
2,rmse,0.5562891840934754,0.008621013850723301,5,predictive
3,ma_f_b,0.6859552741050721,0.007937864794418267,5,predictive
3,ma_prec,0.6850881814956665,0.007376249232551004,5,predictive
3,ma_rec,0.6889091730117798,0.009525517438014762,5,predictive
3,mae,0.30748380422592164,0.00922182667309913,5,predictive
3,meta_doa,0.6061049665231748,0.014103019882940052,5,interpretability
3,mi_acc,0.6925161600112916,0.009221821739382954,5,predictive
3,mi_auc,0.6889091500415515,0.009525520502705498,5,predictive
3,mi_f_b,0.6410144925117491,0.006216135051042333,5,predictive
3,mi_prec,0.6182498335838318,0.015536896470479495,5,predictive
3,mi_rec,0.6663717269897461,0.01787332417505016,5,predictive
3,pc-er,0.06478271484374999,0.038843562263808466,5,interpretability
3,rm,0.5459657665327513,0.017329449463994583,5,interpretability
3,rmse,0.5544469714164734,0.0083149161969737,5,predictive
4,ma_f_b,0.6926750063896179,0.007397860469954442,5,predictive
4,ma_prec,0.691766333580017,0.006938625373781014,5,predictive
4,ma_rec,0.6953584671020507,0.008643927267028383,5,predictive
4,mae,0.30108618140220644,0.008367042479136964,5,predictive
4,meta_doa,0.6252031634225366,0.013208032719577266,5,interpretability
4,mi_acc,0.6989137768745424,0.008367047107631047,5,predictive
4,mi_auc,0.6953584585497838,0.008643926370362442,5,predictive
4,mi_f_b,0.6492212533950805,0.006392606054470095,5,predictive
4,mi_prec,0.6274723410606384,0.014285031761147517,5,predictive
4,mi_rec,0.6731616020202636,0.015827536835001998,5,predictive
4,pc-er,0.06812744140624999,0.03992969882317825,5,interpretability
4,rm,0.5867178644137385,0.01514104504180957,5,interpretability
4,rmse,0.5486495018005371,0.007638840890988453,5,predictive
5,ma_f_b,0.6948673129081726,0.0061725039850842895,5,predictive
5,ma_prec,0.6940056204795837,0.005997139619981758,5,predictive
5,ma_rec,0.6970028400421142,0.006613517164894788,5,predictive
5,mae,0.2992526054382324,0.006448282848637046,5,predictive
5,meta_doa,0.6416428970248601,0.012008169969248732,5,interpretability
5,mi_acc,0.7007473707199098,0.006448286256783172,5,predictive
5,mi_auc,0.6970028404284886,0.006613501440563815,5,predictive
5,mi_f_b,0.6527915120124816,0.007359475046626159,5,predictive
5,mi_prec,0.6336960792541504,0.014571360101907639,5,predictive
5,mi_rec,0.6734510064125061,0.011212310402089552,5,predictive
5,pc-er,0.07012329101562499,0.039251483577887186,5,interpretability
5,rm,0.622780477018501,0.01459227497185028,5,interpretability
5,rmse,0.5469850301742554,0.005965102942623202,5,predictive
6,ma_f_b,0.6955913543701172,0.005691305217941643,5,predictive
6,ma_prec,0.6947319746017456,0.005491873273232793,5,predictive
6,ma_rec,0.6974810242652894,0.006169650666705207,5,predictive
6,mae,0.29869456887245177,0.006010739972898345,5,predictive
6,meta_doa,0.6559244450076055,0.011154993896262653,5,interpretability
6,mi_acc,0.7013054132461549,0.006010763867027624,5,predictive
6,mi_auc,0.6974810386390713,0.006169641011751475,5,predictive
6,mi_f_b,0.6541020393371582,0.006027941684533749,5,predictive
6,mi_prec,0.6360556960105896,0.01066423843816684,5,predictive
6,mi_rec,0.67340567111969,0.010152371193566935,5,predictive
6,pc-er,0.07475585937499998,0.040163502260940995,5,interpretability
6,rm,0.6547503445997089,0.013964876490414462,5,interpretability
6,rmse,0.5464807152748108,0.005560785298775165,5,predictive
7,ma_f_b,0.6971310019493103,0.006500170359957436,5,predictive
7,ma_prec,0.6962755203247071,0.006236457016005552,5,predictive
7,ma_rec,0.6989319682121277,0.007157070684184899,5,predictive
7,mae,0.2972595810890198,0.006950484492847947,5,predictive
7,meta_doa,0.6688306531088842,0.009759585024145446,5,interpretability
7,mi_acc,0.7027403831481934,0.006950474836236717,5,predictive
7,mi_auc,0.6989319607398532,0.007157057847084093,5,predictive
7,mi_f_b,0.6561817526817321,0.006118327922263975,5,predictive
7,mi_prec,0.6388339281082154,0.009772750769447239,5,predictive
7,mi_rec,0.6746846914291382,0.011830838127371037,5,predictive
7,pc-er,0.07844848632812498,0.040459815147317515,5,interpretability
7,rm,0.6830315697529279,0.014040248643725623,5,interpretability
7,rmse,0.5451541781425476,0.006436468956370579,5,predictive
8,ma_f_b,0.6996767401695252,0.004672499004285897,5,predictive
8,ma_prec,0.6988344669342041,0.0046072289936529166,5,predictive
8,ma_rec,0.7013344526290893,0.004925864482615792,5,predictive
8,mae,0.29484801888465884,0.0047605292646745005,5,predictive
8,meta_doa,0.6814314989378192,0.010183737197394179,5,interpretability
8,mi_acc,0.705151927471161,0.004760534355286265,5,predictive
8,mi_auc,0.7013344516876086,0.004925848441035538,5,predictive
8,mi_f_b,0.6593018651008605,0.005279650002605121,5,predictive
8,mi_prec,0.64256192445755,0.008597126576376705,5,predictive
8,mi_rec,0.6770317912101745,0.0074907068504367355,5,predictive
8,pc-er,0.08186035156249999,0.04079760554158877,5,interpretability
8,rm,0.7097277419474748,0.013967318720001686,5,interpretability
8,rmse,0.5429600358009339,0.004435977013710733,5,predictive
9,ma_f_b,0.7009066939353943,0.007566384407904832,5,predictive
9,ma_prec,0.7000754833221435,0.0074702531844169145,5,predictive
9,ma_rec,0.7024416923522949,0.00777155435569363,5,predictive
9,mae,0.2937319278717041,0.007592240582430519,5,predictive
9,meta_doa,0.6947031284291721,0.009738198559769755,5,interpretability
9,mi_acc,0.7062680363655092,0.007592262597369733,5,predictive
9,mi_auc,0.7024417074867947,0.007771546184932791,5,predictive
9,mi_f_b,0.6610143303871154,0.008143147273716459,5,predictive
9,mi_prec,0.6449522256851197,0.008499325960380116,5,predictive
9,mi_rec,0.6779276609420777,0.010046429091871598,5,predictive
9,pc-er,0.08503417968749999,0.03973517349901911,5,interpretability
9,rm,0.7359228518723364,0.013881385887490702,5,interpretability
