step,metric,mean,std,n,type
0,ma_f_b,0.5483431100845337,0.005174397967990247,5,predictive
0,ma_prec,0.5486263513565064,0.00493549769148783,5,predictive
0,ma_rec,0.5488685727119446,0.005178596410417509,5,predictive
0,mae,0.46118288636207583,0.0021733942461623005,5,predictive
0,meta_doa,0.5043348785026114,0.0031561848773357937,5,interpretability
0,mi_acc,0.5542999386787415,0.0048654183688171,5,predictive
0,mi_f_b,0.49780906438827516,0.007866489871444178,5,predictive
0,mi_prec,0.497577041387558,0.01104212742890933,5,predictive
0,mi_rec,0.49895225167274476,0.007100730942925609,5,predictive
0,pc-er,0.007938766479492189,0.02209227226256737,5,interpretability
0,rm,0.027302218326383836,0.014572350806866023,5,interpretability
0,rmse,0.5800750255584717,0.001316809556569302,5,predictive
1,ma_f_b,0.5534551262855529,0.003783717499572709,5,predictive
1,ma_prec,0.5537950754165649,0.003723507117817244,5,predictive
1,ma_rec,0.5539600133895874,0.005012845207097705,5,predictive
1,mae,0.457452255487442,0.00237994741800292,5,predictive
1,meta_doa,0.5095762764584926,0.0027266726605321098,5,interpretability
1,mi_acc,0.5590433239936828,0.004425685566994442,5,predictive
1,mi_f_b,0.5048118531703949,0.004467653163315693,5,predictive
1,mi_prec,0.5063163876533509,0.006520681024025993,5,predictive
1,mi_rec,0.5042461514472961,0.008402229303104854,5,predictive
1,pc-er,0.011157989501953127,0.02741200272388524,5,interpretability
1,rm,0.05147966498528618,0.010636586785735837,5,interpretability
1,rmse,0.5803000092506408,0.002042082571409248,5,predictive
2,ma_f_b,0.5603259205818176,0.00270582450101557,5,predictive
2,ma_prec,0.5606986522674561,0.0026267717893531713,5,predictive
2,ma_rec,0.560779869556427,0.004151466186903222,5,predictive
2,mae,0.45208723545074464,0.0022519113598256043,5,predictive
2,meta_doa,0.512543822727729,0.0026300686892770796,5,interpretability
2,mi_acc,0.565560519695282,0.003978863118905543,5,predictive
2,mi_f_b,0.513358187675476,0.0022289790183590247,5,predictive
2,mi_prec,0.5161297261714936,0.007937732466360103,5,predictive
2,mi_rec,0.5115037262439728,0.008002501615977566,5,predictive
2,pc-er,0.019533538818359376,0.02043440081242367,5,interpretability
2,rm,0.0647792218320242,0.012240883777642474,5,interpretability
2,rmse,0.5775837063789367,0.002264700361848398,5,predictive
3,ma_f_b,0.5639708876609802,0.0017203072884175445,5,predictive
3,ma_prec,0.5642604827880859,0.0014040476172822094,5,predictive
3,ma_rec,0.5643901348114013,0.002622830852298555,5,predictive
3,mae,0.4481810748577118,0.0014127413594704327,5,predictive
3,meta_doa,0.5136886091392212,0.002691376676467102,5,interpretability
3,mi_acc,0.5693472623825073,0.002762044846257219,5,predictive
3,mi_f_b,0.516390073299408,0.0023931050527071103,5,predictive
3,mi_prec,0.5177826523780823,0.00859846918043773,5,predictive
3,mi_rec,0.5157901823520661,0.006163961775563027,5,predictive
3,pc-er,0.02396697998046875,0.024012955699121517,5,interpretability
3,rm,0.0710484002975671,0.012481953966064475,5,interpretability
3,rmse,0.5753692269325257,0.0022575472429420553,5,predictive
4,ma_f_b,0.5679128050804139,0.005192931964155075,5,predictive
4,ma_prec,0.5680888414382934,0.005118331934997454,5,predictive
4,ma_rec,0.568443214893341,0.005314262324726031,5,predictive
4,mae,0.4451912581920624,0.002678356516600124,5,predictive
4,meta_doa,0.5141997423122568,0.0026896684832033364,5,interpretability
4,mi_acc,0.5738913536071777,0.005415390613826924,5,predictive
4,mi_f_b,0.5178637444972992,0.006393978945776116,5,predictive
4,mi_prec,0.5153366982936859,0.010967786375377273,5,predictive
4,mi_rec,0.5211948812007904,0.007431802280588165,5,predictive
4,pc-er,0.0261444091796875,0.028500696395397564,5,interpretability
4,rm,0.07602204655069797,0.010902500024665399,5,interpretability
4,rmse,0.5732212543487549,0.0022590807418564874,5,predictive
5,ma_f_b,0.5682747840881348,0.003880158060220125,5,predictive
5,ma_prec,0.5683654308319092,0.003591035319502639,5,predictive
5,ma_rec,0.5687354803085327,0.0029834468933322886,5,predictive
5,mae,0.4436980187892914,0.0017718628268496106,5,predictive
5,meta_doa,0.515132555049503,0.0019574072962932516,5,interpretability
5,mi_acc,0.5742899656295777,0.003468104898053212,5,predictive
5,mi_f_b,0.5179388523101807,0.005592163700966826,5,predictive
5,mi_prec,0.5148130297660828,0.009713630439021157,5,predictive
5,mi_rec,0.5216971933841705,0.004003681432658376,5,predictive
5,pc-er,0.0245330810546875,0.030739167875066302,5,interpretability
5,rm,0.0780813918461131,0.00719888869565447,5,interpretability
5,rmse,0.5723630905151367,0.002102595751667149,5,predictive
6,ma_f_b,0.5741377592086792,0.003212047798970682,5,predictive
6,ma_prec,0.5741809844970703,0.0028508320678771607,5,predictive
6,ma_rec,0.5747107625007629,0.002959967041370876,5,predictive
6,mae,0.43983564972877504,0.0016898910275651713,5,predictive
6,meta_doa,0.5165167061398794,0.0017546270491281277,5,interpretability
6,mi_acc,0.5804882645606995,0.003485447458641537,5,predictive
6,mi_f_b,0.5226483702659607,0.004625683386439576,5,predictive
6,mi_prec,0.517030942440033,0.010507606410735327,5,predictive
6,mi_rec,0.5289788961410522,0.0056352809509995,5,predictive
6,pc-er,0.0225921630859375,0.03433832322152427,5,interpretability
6,rm,0.08199313806195366,0.006977088136827184,5,interpretability
6,rmse,0.5691440105438232,0.0005670731742007622,5,predictive
7,ma_f_b,0.5763198494911194,0.0049053797366418106,5,predictive
7,ma_prec,0.5763213038444519,0.0046708819218579814,5,predictive
7,ma_rec,0.5770297169685363,0.00457887025678187,5,predictive
7,mae,0.4372940301895142,0.0030177786176570215,5,predictive
7,meta_doa,0.517195899740732,0.0021911201088066403,5,interpretability
7,mi_acc,0.5830592632293701,0.00483651533157857,5,predictive
7,mi_f_b,0.523280394077301,0.007174478180393334,5,predictive
7,mi_prec,0.5151617765426636,0.013000972122394767,5,predictive
7,mi_rec,0.5322304844856263,0.006627892060022477,5,predictive
7,pc-er,0.0324371337890625,0.0378898334635566,5,interpretability
7,rm,0.08578077244728122,0.006531671833247422,5,interpretability
7,rmse,0.566917109489441,0.0014504344487848598,5,predictive
8,ma_f_b,0.5768386483192444,0.0028029402883392182,5,predictive
8,ma_prec,0.5767964005470276,0.0026691981208118074,5,predictive
8,ma_rec,0.5777755856513977,0.003330632996390341,5,predictive
8,mae,0.43673568964004517,0.001917454052691385,5,predictive
8,meta_doa,0.5171843576568701,0.0015902894949392664,5,interpretability
8,mi_acc,0.5842550873756409,0.003541191347993255,5,predictive
8,mi_f_b,0.5210922360420227,0.005023577370666011,5,predictive
8,mi_prec,0.5092267215251922,0.012024497125471068,5,predictive
8,mi_rec,0.5340126276016235,0.006535091724586081,5,predictive
8,pc-er,0.02731475830078125,0.03206903748120877,5,interpretability
8,rm,0.08580534064691311,0.0054884521075855945,5,interpretability
8,rmse,0.5660902500152588,0.0018347464846393648,5,predictive
9,ma_f_b,0.576004683971405,0.0038977192274968126,5,predictive
9,ma_prec,0.576015317440033,0.0037162715882645644,5,predictive
9,ma_rec,0.5770588994026185,0.004052829481029282,5,predictive
9,mae,0.4366245329380035,0.0020542647365728,5,predictive
9,meta_doa,0.5175509514067586,0.0014413288261705636,5,interpretability
9,mi_acc,0.5835375905036926,0.0044446548128630435,5,predictive
9,mi_f_b,0.5198569178581238,0.006451429299623822,5,predictive
9,mi_prec,0.5076326549053192,0.014369044743241693,5,predictive
9,mi_rec,0.5333394050598145,0.007160296606374306,5,predictive
9,pc-er,0.024126815795898437,0.015912798898767514,5,interpretability
9,rm,0.08526496469658632,0.005789211993989919,5,interpretability
9,rmse,0.5663635492324829,0.0016850176709245787,5,predictive
10,ma_f_b,0.5792407155036926,0.00362545631373607,5,predictive
10,ma_prec,0.5792794466018677,0.003519389206258507,5,predictive
10,ma_rec,0.5807388663291931,0.003916362415594322,5,predictive
10,mae,0.43382875323295594,0.002135467515072495,5,predictive
10,meta_doa,0.5166683916997378,0.0016783993024139215,5,interpretability
10,mi_acc,0.5874638557434082,0.004113262699155187,5,predictive
10,mi_f_b,0.520856499671936,0.007015962016182598,5,predictive
10,mi_prec,0.504910671710968,0.015179563540984615,5,predictive
10,mi_rec,0.5386395692825318,0.006914452488068295,5,predictive
10,pc-er,0.013008880615234374,0.02194589629116954,5,interpretability
10,rm,0.08393357858330122,0.007845009003868794,5,interpretability
10,rmse,0.5635221242904663,0.0014879484210165352,5,predictive
11,ma_f_b,0.5773729801177978,0.00438269434709459,5,predictive
11,ma_prec,0.577439260482788,0.0043543964023980385,5,predictive
11,ma_rec,0.5791379094123841,0.00462833485965294,5,predictive
11,mae,0.43429845571517944,0.0022225802038648287,5,predictive
11,meta_doa,0.5174175999573866,0.001632596891438,5,interpretability
11,mi_acc,0.5862281918525696,0.00460443079841143,5,predictive
11,mi_f_b,0.5165611922740936,0.007405481332674617,5,predictive
11,mi_prec,0.49775957465171816,0.014422543270682497,5,predictive
11,mi_rec,0.5375567317008972,0.007115386692181207,5,predictive
11,pc-er,0.018468379974365234,0.018159991850778278,5,interpretability
11,rm,0.08532379470576117,0.008130730763639685,5,interpretability
11,rmse,0.5636029005050659,0.0015279825675803857,5,predictive
12,ma_f_b,0.579878306388855,0.0027850036969388936,5,predictive
12,ma_prec,0.5799702644348145,0.002986396323759921,5,predictive
12,ma_rec,0.5818280935287475,0.004218918931631386,5,predictive
12,mae,0.43252546787261964,0.001984483365541476,5,predictive
12,meta_doa,0.5163981258255177,0.0018424594302234466,5,interpretability
12,mi_acc,0.5889386892318725,0.004163947939301896,5,predictive
12,mi_f_b,0.5186210989952087,0.004336129535716931,5,predictive
12,mi_prec,0.4987404763698578,0.01174721275776648,5,predictive
12,mi_rec,0.5409551620483398,0.007737315640139505,5,predictive
12,pc-er,0.016983604431152342,0.01636096888310071,5,interpretability
12,rm,0.08330400956086186,0.009114030318812975,5,interpretability
12,rmse,0.5618163228034974,0.002168234080604076,5,predictive
13,ma_f_b,0.5800113201141357,0.003122250862793965,5,predictive
13,ma_prec,0.5801324248313904,0.0032887914141047302,5,predictive
13,ma_rec,0.5821596026420593,0.004291510120859474,5,predictive
13,mae,0.4321692049503326,0.0029184184290601232,5,predictive
13,meta_doa,0.5170416893701237,0.0021841966571905878,5,interpretability
13,mi_acc,0.5893771648406982,0.004301235412814011,5,predictive
13,mi_f_b,0.5176012873649597,0.006013797221423318,5,predictive
13,mi_prec,0.49610862135887146,0.014644992284075266,5,predictive
13,mi_rec,0.5418331265449524,0.007939163005090871,5,predictive
13,pc-er,0.01863555908203125,0.022885089105590856,5,interpretability
13,rm,0.08233904996688272,0.008136007392708316,5,interpretability
13,rmse,0.561659288406372,0.002334030462121496,5,predictive
14,ma_f_b,0.5824147462844849,0.002337171931549646,5,predictive
14,ma_prec,0.582608950138092,0.0026625418277659266,5,predictive
14,ma_rec,0.585081946849823,0.004114376799357175,5,predictive
14,mae,0.43015666007995607,0.0020727806242155132,5,predictive
14,meta_doa,0.5161923963345254,0.0019703337995377293,5,interpretability
14,mi_acc,0.5924663424491883,0.0040872075634820985,5,predictive
14,mi_f_b,0.5179244041442871,0.00630909219969687,5,predictive
14,mi_prec,0.4930854558944702,0.016308879249751624,5,predictive
14,mi_rec,0.5462392091751098,0.008343653387316208,5,predictive
14,pc-er,0.01567535400390625,0.017320738620811585,5,interpretability
14,rm,0.08181746637107708,0.00782512884436704,5,interpretability
14,rmse,0.5595353007316589,0.0021693058441952387,5,predictive
15,ma_f_b,0.5854228019714356,0.0026695045453578926,5,predictive
15,ma_prec,0.5856726765632629,0.0029833468739894663,5,predictive
15,ma_rec,0.5885805010795593,0.00473917161498875,5,predictive
15,mae,0.4276143491268158,0.002833189496540338,5,predictive
15,meta_doa,0.5153003733315924,0.0017502122630670704,5,interpretability
15,mi_acc,0.5960338592529297,0.004860445146423324,5,predictive
15,mi_f_b,0.5193582892417907,0.004774873868269852,5,predictive
15,mi_prec,0.4916199386119843,0.014864147845986145,5,predictive
15,mi_rec,0.551257872581482,0.009323332065383253,5,predictive
15,pc-er,0.006870269775390625,0.023509916497028716,5,interpretability
15,rm,0.0802541918036647,0.005775763679348946,5,interpretability
15,rmse,0.5569244265556336,0.0028877797878696133,5,predictive
