step,metric,mean,std,n,type
0,ma_f_b,0.5734693765640259,0.00900502626673003,5,predictive
0,ma_prec,0.5857598423957825,0.007771555776732462,5,predictive
0,ma_rec,0.6116607785224915,0.012657757815747312,5,predictive
0,mae,0.4273116707801819,0.00807413111857038,5,predictive
0,meta_doa,0.5069066554861669,0.005618066226883369,5,interpretability
0,mi_acc,0.6118983268737793,0.00981302907949794,5,predictive
0,mi_f_b,0.44689901471138,0.02870842934794473,5,predictive
0,mi_prec,0.35523813366889956,0.04840227613953239,5,predictive
0,mi_rec,0.6099692583084106,0.02479900286894671,5,predictive
0,pc-er,0.042572021484374986,0.13160406956477746,5,interpretability
0,rm,0.026377367448732387,0.01119783343054472,5,interpretability
0,rmse,0.5199091672897339,0.007789510662679295,5,predictive
1,ma_f_b,0.5729746222496033,0.008795095925000825,5,predictive
1,ma_prec,0.585410726070404,0.007660384780848226,5,predictive
1,ma_rec,0.6113909125328064,0.012515011802864918,5,predictive
1,mae,0.4272811532020569,0.008086432689963445,5,predictive
1,meta_doa,0.515108362727783,0.004551368297788484,5,interpretability
1,mi_acc,0.6116392493247986,0.009832381217703391,5,predictive
1,mi_f_b,0.44589030742645264,0.028120083220334123,5,predictive
1,mi_prec,0.3539925217628479,0.047645906119892285,5,predictive
1,mi_rec,0.6097287893295288,0.024570021206276545,5,predictive
1,pc-er,0.12548980712890626,0.08505961092352764,5,interpretability
1,rm,0.05443649397903114,0.014834699887596836,5,interpretability
1,rmse,0.5197812914848328,0.007820922885938593,5,predictive
2,ma_f_b,0.57267165184021,0.008574974105621951,5,predictive
2,ma_prec,0.5850396513938904,0.007439911413347083,5,predictive
2,ma_rec,0.6107446670532226,0.012359613679451696,5,predictive
2,mae,0.42731999754905703,0.008100118646270653,5,predictive
2,meta_doa,0.5164145882641222,0.0026346781662142833,5,interpretability
2,mi_acc,0.6112007856369018,0.009761683034298403,5,predictive
2,mi_f_b,0.4457914173603058,0.02805617769540402,5,predictive
