step,metric,mean,std,n,type
0,ma_f_b,0.5843185067176819,0.03379969257559591,5,predictive
0,ma_prec,0.5942234396934509,0.023232357417681516,5,predictive
0,ma_rec,0.6117754220962525,0.006226989765968696,5,predictive
0,mae,0.42824573516845704,0.005413306634891662,5,predictive
0,meta_doa,0.5071589410769747,0.0036991733752432293,5,interpretability
0,mi_acc,0.6097657918930054,0.011885337228820991,5,predictive
0,mi_f_b,0.49536226987838744,0.08559449612377966,5,predictive
0,mi_prec,0.45333464741706847,0.13443577964864617,5,predictive
0,mi_rec,0.5919581174850463,0.023605601973841803,5,predictive
0,pc-er,0.16689453125,0.26570828648716327,5,interpretability
0,rm,0.04536848138155998,0.01289049197304778,5,interpretability
0,rmse,0.5355377554893493,0.008024538135642661,5,predictive
1,ma_f_b,0.5843185067176819,0.03379969257559591,5,predictive
1,ma_prec,0.5942234396934509,0.023232357417681516,5,predictive
1,ma_rec,0.6117754220962525,0.006226989765968696,5,predictive
1,mae,0.42824522256851194,0.005413215662480848,5,predictive
1,meta_doa,0.5105967680393582,0.0037325746859273373,5,interpretability
1,mi_acc,0.6097657918930054,0.011885337228820991,5,predictive
1,mi_f_b,0.49536226987838744,0.08559449612377966,5,predictive
1,mi_prec,0.45333464741706847,0.13443577964864617,5,predictive
1,mi_rec,0.5919581174850463,0.023605601973841803,5,predictive
1,pc-er,0.268310546875,0.3341868786219955,5,interpretability
1,rm,0.047465858649641125,0.016396727588798662,5,interpretability
1,rmse,0.5355368614196777,0.008026084566995073,5,predictive
2,ma_f_b,0.5843185067176819,0.03379969257559591,5,predictive
2,ma_prec,0.5942234396934509,0.023232357417681516,5,predictive
2,ma_rec,0.6117754220962525,0.006226989765968696,5,predictive
2,mae,0.4282446622848511,0.005413418398647171,5,predictive
2,meta_doa,0.512659187867453,0.00443850512900605,5,interpretability
2,mi_acc,0.6097657918930054,0.011885337228820991,5,predictive
2,mi_f_b,0.49536226987838744,0.08559449612377966,5,predictive
2,mi_prec,0.45333464741706847,0.13443577964864617,5,predictive
2,mi_rec,0.5919581174850463,0.023605601973841803,5,predictive
2,pc-er,0.29501953125,0.3589220853899152,5,interpretability
2,rm,0.051226953292491696,0.022205553373496032,5,interpretability
2,rmse,0.5355355620384217,0.008026983797564701,5,predictive
3,ma_f_b,0.5843185067176819,0.03379969257559591,5,predictive
3,ma_prec,0.5942234396934509,0.023232357417681516,5,predictive
3,ma_rec,0.6117754220962525,0.006226989765968696,5,predictive
3,mae,0.42824317812919616,0.005413659137576345,5,predictive
3,meta_doa,0.5138238777186899,0.0078116899104320025,5,interpretability
3,mi_acc,0.6097657918930054,0.011885337228820991,5,predictive
3,mi_f_b,0.49536226987838744,0.08559449612377966,5,predictive
3,mi_prec,0.45333464741706847,0.13443577964864617,5,predictive
3,mi_rec,0.5919581174850463,0.023605601973841803,5,predictive
3,pc-er,0.164691162109375,0.27923920292105864,5,interpretability
3,rm,0.053514358657001646,0.026550678274000615,5,interpretability
3,rmse,0.5355336666107178,0.00802732965121974,5,predictive
4,ma_f_b,0.5843185067176819,0.03379969257559591,5,predictive
4,ma_prec,0.5942234396934509,0.023232357417681516,5,predictive
4,ma_rec,0.6117754220962525,0.006226989765968696,5,predictive
4,mae,0.42824186086654664,0.005413017996914955,5,predictive
