step,metric,mean,std,n,type
0,ma_f_b,0.5515538811683655,0.014628963701924066,5,predictive
0,ma_prec,0.552139139175415,0.014379423234870525,5,predictive
0,ma_rec,0.5526285886764526,0.01341501628173755,5,predictive
0,mae,0.45945535898208617,0.005984674886126491,5,predictive
0,meta_doa,0.5223949724278497,0.017355287312899557,5,interpretability
0,mi_acc,0.5571100950241089,0.013795930419748406,5,predictive
0,mi_f_b,0.5051251769065856,0.02243406345381397,5,predictive
0,mi_prec,0.509325486421585,0.03447717758424353,5,predictive
0,mi_rec,0.5028591156005859,0.011648222476193605,5,predictive
0,pc-er,-0.024639892578125006,0.08789790386285345,5,interpretability
0,rm,0.07064779989179448,0.0557596121470888,5,interpretability
0,rmse,0.5616923093795776,0.008216794296738727,5,predictive
1,ma_f_b,0.557714331150055,0.011132798073847372,5,predictive
1,ma_prec,0.5580134749412536,0.010896980204055523,5,predictive
1,ma_rec,0.5587966322898865,0.009970847136011037,5,predictive
1,mae,0.45480005741119384,0.00403898020347098,5,predictive
1,meta_doa,0.5260242697044053,0.015196334127975272,5,interpretability
1,mi_acc,0.5647234439849853,0.009548427283536042,5,predictive
1,mi_f_b,0.5044983267784119,0.020448425920536452,5,predictive
1,mi_prec,0.49952266812324525,0.03213901758260087,5,predictive
1,mi_rec,0.5111481845378876,0.007946520519737361,5,predictive
1,pc-er,0.09456787109375,0.15895702791518068,5,interpretability
1,rm,0.08391290020521239,0.04711738483249869,5,interpretability
1,rmse,0.5570567607879638,0.006374153486657696,5,predictive
2,ma_f_b,0.5634379982948303,0.009612867538090342,5,predictive
2,ma_prec,0.5637283205986023,0.009227261551317532,5,predictive
2,ma_rec,0.5650856971740723,0.008301085864497175,5,predictive
2,mae,0.449671334028244,0.0024900525613135403,5,predictive
2,meta_doa,0.5280473943519493,0.016291905969751268,5,interpretability
2,mi_acc,0.5722172260284424,0.007241952874425752,5,predictive
2,mi_f_b,0.5034845054149628,0.020081204163507383,5,predictive
2,mi_prec,0.4892272412776947,0.03186065417131475,5,predictive
2,mi_rec,0.5201188743114471,0.006362796827054895,5,predictive
2,pc-er,0.08145751953125,0.13742706189432824,5,interpretability
2,rm,0.09888869494285721,0.04660674622612722,5,interpretability
2,rmse,0.5524420261383056,0.005165566189350765,5,predictive
3,ma_f_b,0.5690636754035949,0.008285780412573513,5,predictive
3,ma_prec,0.5695399522781373,0.007650146788884187,5,predictive
3,ma_rec,0.5717137336730957,0.006596813767030195,5,predictive
3,mae,0.4449444770812988,0.002136811549940336,5,predictive
3,meta_doa,0.529633014490333,0.013712655480408979,5,interpretability
3,mi_acc,0.5795914053916931,0.005410388199270041,5,predictive
3,mi_f_b,0.5034236013889313,0.01948608484094817,5,predictive
3,mi_prec,0.48091067671775817,0.03188229534419303,5,predictive
3,mi_rec,0.5297963500022889,0.004818269567240032,5,predictive
3,pc-er,0.09929580688476565,0.10881921052803128,5,interpretability
3,rm,0.1088232185403835,0.04373687522299607,5,interpretability
3,rmse,0.5485696434974671,0.004431788465042241,5,predictive
4,ma_f_b,0.5758220553398132,0.007651693157923581,5,predictive
4,ma_prec,0.5763358235359192,0.007027846390286388,5,predictive
4,ma_rec,0.5791284441947937,0.0062859741049565866,5,predictive
4,mae,0.44032853841781616,0.0027833381528392237,5,predictive
4,meta_doa,0.5222068916356754,0.0041781566803486886,5,interpretability
4,mi_acc,0.5871848464012146,0.005481578833139386,5,predictive
4,mi_f_b,0.5077091574668884,0.017310557239623284,5,predictive
4,mi_prec,0.48032084107398987,0.028609412938482053,5,predictive
4,mi_rec,0.5398210883140564,0.0062628037669333605,5,predictive
4,pc-er,0.094525146484375,0.045115154768102614,5,interpretability
4,rm,0.10141891728650114,0.016563209641838664,5,interpretability
4,rmse,0.5450100421905517,0.004004194588692879,5,predictive
5,ma_f_b,0.5794936418533325,0.006756073690317588,5,predictive
5,ma_prec,0.5800433158874512,0.006130937277771366,5,predictive
5,ma_rec,0.5833834171295166,0.005219257562908115,5,predictive
5,mae,0.4369829475879669,0.002873323865054195,5,predictive
5,meta_doa,0.5215115675644648,0.00529909189544677,5,interpretability
5,mi_acc,0.5914698362350463,0.0045790321707599915,5,predictive
5,mi_f_b,0.5096068739891052,0.015603583172874256,5,predictive
5,mi_prec,0.4787286460399628,0.025851925418735027,5,predictive
5,mi_rec,0.5459882974624634,0.004642756330789546,5,predictive
5,pc-er,0.130908203125,0.039494757606974365,5,interpretability
5,rm,0.1067877698966627,0.01730041444708497,5,interpretability
5,rmse,0.5427494168281555,0.003608412032087052,5,predictive
6,ma_f_b,0.5815295696258544,0.007469700819254204,5,predictive
6,ma_prec,0.5821676969528198,0.0069140545869295226,5,predictive
6,ma_rec,0.5859193563461303,0.006385684664036146,5,predictive
6,mae,0.4342856705188751,0.0037724107269662965,5,predictive
6,meta_doa,0.5244774134825649,0.005108129348140046,5,interpretability
6,mi_acc,0.5941006302833557,0.006005402671235924,5,predictive
6,mi_f_b,0.5098673224449157,0.014755642745204516,5,predictive
6,mi_prec,0.47610996961593627,0.023695249154867787,5,predictive
6,mi_rec,0.5498639106750488,0.007105614310401018,5,predictive
6,pc-er,0.158251953125,0.08766258629110402,5,interpretability
6,rm,0.11182212917189267,0.018280274632511816,5,interpretability
6,rmse,0.5409595370292664,0.003613290495724494,5,predictive
7,ma_f_b,0.5842689037322998,0.0073813419556841425,5,predictive
7,ma_prec,0.5849878787994385,0.006880166812691481,5,predictive
7,ma_rec,0.5893144130706787,0.006477268941409969,5,predictive
7,mae,0.43138167858123777,0.004613289637491036,5,predictive
7,meta_doa,0.5250932304531828,0.006015253329735578,5,interpretability
7,mi_acc,0.5974887728691101,0.00637749904927014,5,predictive
7,mi_f_b,0.5108110249042511,0.013037990927661336,5,predictive
7,mi_prec,0.4737581074237823,0.020493246091350423,5,predictive
7,mi_rec,0.5550356984138489,0.007542229002195175,5,predictive
7,pc-er,0.15305633544921876,0.11792749584942262,5,interpretability
7,rm,0.11684567529109509,0.018525795780960735,5,interpretability
7,rmse,0.5388493537902832,0.0035970024578666636,5,predictive
8,ma_f_b,0.587531304359436,0.007399785050375388,5,predictive
8,ma_prec,0.5883284926414489,0.006975296278976928,5,predictive
8,ma_rec,0.5932575345039368,0.006729753654860001,5,predictive
8,mae,0.42896785140037536,0.0051098830745562795,5,predictive
8,meta_doa,0.5262978898220914,0.0061988165195166,5,interpretability
8,mi_acc,0.6013153672218323,0.006922258859507123,5,predictive
8,mi_f_b,0.5126582026481629,0.011266518677730857,5,predictive
8,mi_prec,0.47262016534805296,0.01727430243180914,5,predictive
8,mi_rec,0.5608371138572693,0.008195325310647093,5,predictive
8,pc-er,0.12930908203125,0.07092779921149635,5,interpretability
8,rm,0.1203693759477463,0.01964982353714777,5,interpretability
