PID 3558219 sees CUDA_VISIBLE_DEVICES = 0
→ torch.device is 0 Tesla V100-SXM2-16GB
[INFO 47:22] Using device: cuda
[INFO 47:22] #### config : {'seed': 0, 'dataset_name': 'assist0910', 'load_params': True, 'save_params': False, 'embs_path': '../embs/', 'params_path': '../ckpt/', 'early_stopping': True, 'esc': 'error', 'verbose_early_stopping': False, 'disable_tqdm': False, 'valid_metric': 'rmse', 'learning_rate': 0.001, 'batch_size': 512, 'valid_batch_size': 10000, 'num_epochs': 100, 'eval_freq': 1, 'patience': 20, 'device': device(type='cuda'), 'lambda': 2.67605964593852e-06, 'tensorboard': False, 'flush_freq': True, 'pred_metrics': ['mi_acc', 'rmse', 'mae', 'mi_prec', 'mi_rec', 'mi_f_b', 'mi_auc', 'ma_prec', 'ma_rec', 'ma_f_b'], 'profile_metrics': ['meta_doa', 'pc-er', 'rm'], 'num_responses': 12, 'low_mem': False, 'n_query': 16, 'CDM': 'impact', 'i_fold': 1, 'num_inner_users_epochs': 9, 'num_inner_epochs': 10, 'inner_lr': 0.0001, 'inner_user_lr': 0.003, 'meta_lr': 0.05, 'meta_trainer': 'Adam', 'num_workers': 0, 'pin_memory': False, 'debug': False} ####
[INFO 47:39] Random_cont_model
[INFO 47:39] compiling CDM model
[INFO 47:44] compiling selection model
[INFO 47:44] ⏳ Début de l'entraînement...
[INFO 47:44] ✅ Entraînement terminé en 0.00 secondes.
[INFO 47:44] train on cuda
Meta_loss tensor(0.6971, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6956, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6942, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6929, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6916, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6904, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6892, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6880, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6869, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6859, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6849, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6839, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6829, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6820, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6811, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6802, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6794, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6785, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6777, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6770, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6762, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6754, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6747, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6741, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6734, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6727, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6721, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6714, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6708, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6702, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6696, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6690, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6684, device='cuda:0', grad_fn=<DotBackward0>)
Meta_loss tensor(0.6679, device='cuda:0', grad_fn=<DotBackward0>)
