step,metric,mean,std,n,type
0,ma_f_b,0.5693841099739075,0.005381013882209705,5,predictive
0,ma_prec,0.5726881742477417,0.005279267140736593,5,predictive
0,ma_rec,0.5902990102767945,0.006062639006260944,5,predictive
0,mae,0.37659580707550055,0.0055061360098533135,5,predictive
0,meta_doa,0.487440198438318,0.011487589941670262,5,interpretability
0,mi_acc,0.6234041810035706,0.0055061294681591644,5,predictive
0,mi_auc,0.5902990038466515,0.006062630895812808,5,predictive
0,mi_f_b,0.7215538024902344,0.005314267022899042,5,predictive
0,mi_prec,0.7970669746398926,0.01229012829432229,5,predictive
0,mi_rec,0.6592979788780212,0.005024015188986488,5,predictive
0,pc-er,-0.031880187988281274,0.11846204422377979,5,interpretability
0,rm,0.02063000110963866,0.025509812862085673,5,interpretability
0,rmse,0.6135787844657898,0.0044116328853281575,5,predictive
1,ma_f_b,0.5709570407867433,0.006689333779812257,5,predictive
1,ma_prec,0.5740696787834167,0.006538851205807252,5,predictive
1,ma_rec,0.5918931961059571,0.007171587253292779,5,predictive
1,mae,0.37545003890991213,0.006163699209631772,5,predictive
1,meta_doa,0.48922354519153116,0.011546693216344533,5,interpretability
1,mi_acc,0.6245499491691591,0.006163694972800979,5,predictive
1,mi_auc,0.591893178827294,0.007171593076085054,5,predictive
1,mi_f_b,0.7222513914108276,0.0056608047147728765,5,predictive
1,mi_prec,0.7974183797836304,0.01303716207278509,5,predictive
1,mi_rec,0.6602247357368469,0.005793536801587669,5,predictive
1,pc-er,-0.016369628906250024,0.1143333534206761,5,interpretability
1,rm,0.02807871301912489,0.025046444200455424,5,interpretability
1,rmse,0.6126466870307923,0.005013297652635447,5,predictive
2,ma_f_b,0.5743514060974122,0.007413096972330466,5,predictive
2,ma_prec,0.5770845890045166,0.007119548325510842,5,predictive
2,ma_rec,0.5951822638511659,0.007388432127507246,5,predictive
2,mae,0.37295210957527164,0.005810705279768423,5,predictive
2,meta_doa,0.49079657432101753,0.011604377333163454,5,interpretability
2,mi_acc,0.627047872543335,0.00581069268267637,5,predictive
2,mi_auc,0.5951822645925906,0.007388437180084029,5,predictive
2,mi_f_b,0.7237232685089111,0.005564701566544454,5,predictive
2,mi_prec,0.7979496955871582,0.013469190658222711,5,predictive
2,mi_rec,0.6623358368873596,0.005626021099711184,5,predictive
2,pc-er,-0.0027801513671875224,0.11144735008861353,5,interpretability
2,rm,0.03573663141363712,0.02507150391006083,5,interpretability
2,rmse,0.6106350183486939,0.0050617202504095755,5,predictive
3,ma_f_b,0.575648868083954,0.00674822206797326,5,predictive
3,ma_prec,0.578228235244751,0.006465244878308685,5,predictive
3,ma_rec,0.5963082551956178,0.006385469657860087,5,predictive
3,mae,0.3721195757389069,0.0048607814939144855,5,predictive
3,meta_doa,0.49254399667307125,0.011960065552243278,5,interpretability
3,mi_acc,0.6278803944587709,0.004860777465841704,5,predictive
3,mi_auc,0.5963082556266566,0.00638549752697731,5,predictive
3,mi_f_b,0.7241428017616272,0.004853246089199957,5,predictive
3,mi_prec,0.7978039503097534,0.012746729209030375,5,predictive
3,mi_rec,0.6631537556648255,0.0052040536777018115,5,predictive
3,pc-er,0.007443618774414041,0.11220645495875553,5,interpretability
3,rm,0.046746973955884764,0.027939205388916376,5,interpretability
3,rmse,0.6099603891372681,0.004368982754918023,5,predictive
4,ma_f_b,0.5794952869415284,0.007343059031290885,5,predictive
4,ma_prec,0.5816448926925659,0.006530209853884907,5,predictive
4,ma_rec,0.5996396064758301,0.004560075515307137,5,predictive
4,mae,0.369515734910965,0.0037895682557965134,5,predictive
4,meta_doa,0.49517419110922234,0.011560975339955886,5,interpretability
4,mi_acc,0.6304842710494996,0.003789559238018063,5,predictive
4,mi_auc,0.5996396132133401,0.004560094720176615,5,predictive
4,mi_f_b,0.7255807757377625,0.0027868507579763796,5,predictive
4,mi_prec,0.7978138566017151,0.009628852879467405,5,predictive
4,mi_rec,0.6655635476112366,0.005587571457820818,5,predictive
4,pc-er,0.03440704345703123,0.10318287996120684,5,interpretability
4,rm,0.06007781514088641,0.028249820956092075,5,interpretability
4,rmse,0.607836425304413,0.0037597891771443325,5,predictive
5,ma_f_b,0.5834240794181824,0.006597869009567298,5,predictive
5,ma_prec,0.5852248549461365,0.0059299771303373775,5,predictive
5,ma_rec,0.6037629365921021,0.0035372920994114813,5,predictive
5,mae,0.36639753580093387,0.003455328690889883,5,predictive
5,meta_doa,0.4979207520533337,0.01151663519483589,5,interpretability
5,mi_acc,0.6336024641990663,0.0034553096969375786,5,predictive
5,mi_auc,0.6037629419157711,0.00353730392231344,5,predictive
5,mi_f_b,0.7276776671409607,0.00274050824990739,5,predictive
5,mi_prec,0.7995119452476501,0.010044587723911256,5,predictive
5,mi_rec,0.6679287433624268,0.005588712939100386,5,predictive
5,pc-er,0.05703735351562498,0.09924221887642809,5,interpretability
5,rm,0.07292680779352707,0.028201126210379582,5,interpretability
5,rmse,0.6052535653114319,0.0033201638302396445,5,predictive
6,ma_f_b,0.5864819288253785,0.006298433857847003,5,predictive
6,ma_prec,0.5879047155380249,0.005773530298335315,5,predictive
6,ma_rec,0.6064943075180055,0.0036310314710828735,5,predictive
6,mae,0.3645293653011322,0.0036175898490965076,5,predictive
6,meta_doa,0.5003290553471087,0.011303408054693159,5,interpretability
6,mi_acc,0.6354706168174744,0.003617598901685479,5,predictive
6,mi_auc,0.6064943123151325,0.0036310062620510436,5,predictive
6,mi_f_b,0.7284935116767883,0.0035483482161287323,5,predictive
6,mi_prec,0.7988413453102112,0.012761866797062338,5,predictive
6,mi_rec,0.6698264122009278,0.006027340211883526,5,predictive
6,pc-er,0.07630920410156247,0.0998678722180559,5,interpretability
6,rm,0.08152840744729048,0.025777578963198572,5,interpretability
6,rmse,0.6036851882934571,0.003079274135141769,5,predictive
7,ma_f_b,0.5914681792259218,0.00828033324917296,5,predictive
7,ma_prec,0.5922939658164978,0.007863494999082178,5,predictive
7,ma_rec,0.610732936859131,0.00646121142305933,5,predictive
7,mae,0.3612984418869019,0.0059143060909560355,5,predictive
7,meta_doa,0.5031272742080938,0.01137281394415418,5,interpretability
7,mi_acc,0.6387015461921692,0.005914308575113344,5,predictive
7,mi_auc,0.6107329401539255,0.006461190628978406,5,predictive
7,mi_f_b,0.7300788998603821,0.00442804835406203,5,predictive
7,mi_prec,0.798163652420044,0.011705313902421534,5,predictive
7,mi_rec,0.6729826331138611,0.007366608973397875,5,predictive
7,pc-er,0.08246765136718748,0.103881527533785,5,interpretability
7,rm,0.0929823914829745,0.026094128463831592,5,interpretability
7,rmse,0.60099014043808,0.004922117781107409,5,predictive
8,ma_f_b,0.5966284275054933,0.007705578131899232,5,predictive
8,ma_prec,0.5968208312988281,0.007227438762815771,5,predictive
8,ma_rec,0.6146912813186647,0.006001533106854185,5,predictive
8,mae,0.3582918822765351,0.005763702181168907,5,predictive
8,meta_doa,0.5059844943464403,0.011506183909436517,5,interpretability
8,mi_acc,0.6417081117630006,0.005763704936913459,5,predictive
8,mi_auc,0.6146912660109987,0.0060015231896320565,5,predictive
8,mi_f_b,0.7310877680778504,0.0046754490061735494,5,predictive
8,mi_prec,0.7957346677780152,0.011892310762639332,5,predictive
8,mi_rec,0.6764583706855773,0.006872516234529546,5,predictive
8,pc-er,0.08777084350585936,0.10439357963436958,5,interpretability
8,rm,0.10508182559550452,0.02477686133452158,5,interpretability
8,rmse,0.598467779159546,0.00467988491280263,5,predictive
9,ma_f_b,0.6015148520469666,0.0074460092296374175,5,predictive
9,ma_prec,0.6012648344039917,0.006913666574758092,5,predictive
9,ma_rec,0.619217896461487,0.0051775192136942665,5,predictive
9,mae,0.3546562254428864,0.005158137191046739,5,predictive
9,meta_doa,0.5095250247130816,0.010831987863530762,5,interpretability
