step,metric,mean,std,n,type
0,ma_f_b,0.543046921491623,0.032252665731334826,5,predictive
0,ma_prec,0.5496885061264039,0.03546866308880547,5,predictive
0,ma_rec,0.5727641165256501,0.05267205773780167,5,predictive
0,mae,0.4075794219970703,0.059380654088308525,5,predictive
0,meta_doa,0.528000814291244,0.024535721607206077,5,interpretability
0,mi_acc,0.5924205660820008,0.05938066171436507,5,predictive
0,mi_auc,0.572764104734517,0.052672049697731184,5,predictive
0,mi_f_b,0.6824174046516418,0.07652096954262724,5,predictive
0,mi_prec,0.7396316051483154,0.14394609942577208,5,predictive
0,mi_rec,0.6426158428192139,0.021926584774178384,5,predictive
0,pc-er,0.11244506835937498,0.06762606182957048,5,interpretability
0,rm,0.1512973527931955,0.049338697752172284,5,interpretability
0,rmse,0.6365199685096742,0.04558887633399602,5,predictive
1,ma_f_b,0.5480616927146913,0.03123951875374461,5,predictive
1,ma_prec,0.554039990901947,0.0343190386365759,5,predictive
1,ma_rec,0.5773872137069703,0.0517275516818798,5,predictive
1,mae,0.4032083511352539,0.05726635529341899,5,predictive
1,meta_doa,0.5314545794936842,0.013215370716985487,5,interpretability
1,mi_acc,0.5967916488647462,0.05726636951867594,5,predictive
1,mi_auc,0.5773872014404489,0.05172753932695135,5,predictive
1,mi_f_b,0.6865490555763245,0.07319910931251883,5,predictive
1,mi_prec,0.744040024280548,0.1385176536236127,5,predictive
1,mi_rec,0.6458322525024414,0.020864074517832235,5,predictive
1,pc-er,0.15806884765624998,0.07971452740858698,5,interpretability
1,rm,0.18713734733109483,0.047296925939050265,5,interpretability
1,rmse,0.6331741571426392,0.04415924440645655,5,predictive
2,ma_f_b,0.5527851283550264,0.03362564672870323,5,predictive
2,ma_prec,0.5578530132770538,0.03646844004375073,5,predictive
2,ma_rec,0.5816103816032411,0.05412052608960396,5,predictive
2,mae,0.3998750984668732,0.05842536545885708,5,predictive
2,meta_doa,0.5420705171277712,0.014406143829158422,5,interpretability
2,mi_acc,0.6001248955726625,0.05842536545885708,5,predictive
2,mi_auc,0.5816103874746728,0.054120518426194406,5,predictive
2,mi_f_b,0.6890079617500305,0.07304682592567267,5,predictive
2,mi_prec,0.7457391142845153,0.13646662974904705,5,predictive
