step,metric,mean,std,n,type
0,ma_f_b,0.5696236014366151,0.006261871248938814,5,predictive
0,ma_prec,0.5728356242179871,0.006228325791154843,5,predictive
0,ma_rec,0.5903970122337342,0.007109365272240302,5,predictive
0,mae,0.3765931367874146,0.0066095903575920986,5,predictive
0,meta_doa,0.48657568904718546,0.011176510114614752,5,interpretability
0,mi_acc,0.6234068632125855,0.00660957346862683,5,predictive
0,mi_auc,0.5903970162375474,0.0071093663574943846,5,predictive
0,mi_f_b,0.7214006066322327,0.005959495402641629,5,predictive
0,mi_prec,0.7965305209159851,0.012369546687141587,5,predictive
0,mi_rec,0.6594031691551209,0.005815017674890517,5,predictive
0,pc-er,-0.03598175048828127,0.12079321938594706,5,interpretability
0,rm,0.015978824406436488,0.029789598968662033,5,interpretability
0,rmse,0.6135587930679323,0.005169122439449623,5,predictive
1,ma_f_b,0.5702913641929628,0.00680795620389466,5,predictive
1,ma_prec,0.5734309554100037,0.006806615806676276,5,predictive
1,ma_rec,0.5910921335220338,0.007374619935350877,5,predictive
1,mae,0.376068788766861,0.006610901918336323,5,predictive
1,meta_doa,0.487764306747086,0.01108065400906267,5,interpretability
1,mi_acc,0.6239312052726746,0.006610895425841995,5,predictive
1,mi_auc,0.5910921391520176,0.0073746092968117564,5,predictive
1,mi_f_b,0.7217242360115051,0.006036714385828344,5,predictive
1,mi_prec,0.7967137217521667,0.012774734970416958,5,predictive
1,mi_rec,0.6598225235939026,0.005982679224868618,5,predictive
1,pc-er,-0.02520427703857424,0.11978394368637377,5,interpretability
1,rm,0.020471017188246166,0.029189576711994535,5,interpretability
1,rmse,0.6131481766700746,0.005351107059943584,5,predictive
2,ma_f_b,0.573119080066681,0.006340385424917465,5,predictive
2,ma_prec,0.5759611964225769,0.006208721187289702,5,predictive
2,ma_rec,0.59394189119339,0.006448241766794513,5,predictive
2,mae,0.37388918995857245,0.005374339675178611,5,predictive
2,meta_doa,0.4888805286259551,0.01108549947644336,5,interpretability
2,mi_acc,0.6261108040809632,0.0053743322607902105,5,predictive
2,mi_auc,0.5939418833349481,0.006448266446603865,5,predictive
2,mi_f_b,0.7231127142906189,0.005379343148941623,5,predictive
2,mi_prec,0.7975703120231629,0.013233115927041104,5,predictive
2,mi_rec,0.6615579843521118,0.0052968609656002365,5,predictive
2,pc-er,-0.014903259277343772,0.11886293611592656,5,interpretability
2,rm,0.02494565763964034,0.02887477353084173,5,interpretability
2,rmse,0.611389195919037,0.004548142084659855,5,predictive
3,ma_f_b,0.5752669095993043,0.006814427210093686,5,predictive
3,ma_prec,0.5779778122901916,0.006624225202958781,5,predictive
3,ma_rec,0.5965200901031495,0.007249561109656677,5,predictive
3,mae,0.3719155251979828,0.006127726040237257,5,predictive
3,meta_doa,0.4899265608637635,0.011120669880071574,5,interpretability
3,mi_acc,0.6280844807624818,0.00612772543297316,5,predictive
3,mi_auc,0.5965201002490683,0.007249576245599128,5,predictive
3,mi_f_b,0.7246292948722839,0.00588589169867355,5,predictive
3,mi_prec,0.799434244632721,0.013411104803058285,5,predictive
3,mi_rec,0.6628251552581788,0.005515957511688978,5,predictive
3,pc-er,-0.006342315673828147,0.11943985369169768,5,interpretability
3,rm,0.02933045282470571,0.028690857280696352,5,interpretability
3,rmse,0.6097653508186341,0.0051210045838795525,5,predictive
4,ma_f_b,0.5754135727882386,0.0059051719663945545,5,predictive
4,ma_prec,0.5779704689979553,0.005649279327667906,5,predictive
4,ma_rec,0.5958764791488649,0.005140982189415784,5,predictive
4,mae,0.37243241071701055,0.0040720558628221225,5,predictive
4,meta_doa,0.4917040816953525,0.010962833243166364,5,interpretability
4,mi_acc,0.6275675892829896,0.004072056315708355,5,predictive
4,mi_auc,0.5958764908023944,0.005141004075274453,5,predictive
4,mi_f_b,0.7238433957099915,0.004253708246541357,5,predictive
4,mi_prec,0.797270941734314,0.01197599004154367,5,predictive
4,mi_rec,0.6630008816719055,0.004893180679297629,5,predictive
4,pc-er,0.008261108398437477,0.11531903115310042,5,interpretability
4,rm,0.0374763169917078,0.028408487359664086,5,interpretability
4,rmse,0.6102132201194764,0.0036990385231751373,5,predictive
5,ma_f_b,0.5798434615135194,0.0034980068204868283,5,predictive
5,ma_prec,0.5820004224777222,0.004039650469593681,5,predictive
5,ma_rec,0.6005676150321961,0.00399149481733315,5,predictive
5,mae,0.36879304051399237,0.00301812538652046,5,predictive
5,meta_doa,0.4936995940002552,0.010798484099640251,5,interpretability
5,mi_acc,0.6312069416046143,0.0030181203861324155,5,predictive
5,mi_auc,0.6005676403758613,0.0039915028219669425,5,predictive
5,mi_f_b,0.7264075756072998,0.003453809916618633,5,predictive
5,mi_prec,0.7996577382087707,0.009954019787585009,5,predictive
5,mi_rec,0.6656344890594482,0.004078955658973952,5,predictive
5,pc-er,0.022146606445312477,0.11540921993137258,5,interpretability
5,rm,0.04902466294541332,0.029678513337374805,5,interpretability
5,rmse,0.6072096347808839,0.0026174305202707193,5,predictive
6,ma_f_b,0.5839993596076967,0.004560232091019816,5,predictive
6,ma_prec,0.5856623172760009,0.004947607329350719,5,predictive
6,ma_rec,0.604329538345337,0.004807613007089337,5,predictive
6,mae,0.3659847915172577,0.0034719842597073025,5,predictive
6,meta_doa,0.4955171044500828,0.010814317345106048,5,interpretability
6,mi_acc,0.6340151906013489,0.0034719911675803366,5,predictive
6,mi_auc,0.6043295371226677,0.004807627878868237,5,predictive
6,mi_f_b,0.7279456973075866,0.0036801983688949866,5,predictive
6,mi_prec,0.7996957898139954,0.01066008162066785,5,predictive
6,mi_rec,0.6682034373283386,0.00459177823647385,5,predictive
6,pc-er,0.02732295989990232,0.11665848813330947,5,interpretability
6,rm,0.05653651781319088,0.029111512238285498,5,interpretability
6,rmse,0.6049021244049073,0.0031365418214664973,5,predictive
7,ma_f_b,0.5858015894889832,0.006817996609879719,5,predictive
7,ma_prec,0.5872560739517212,0.007222975195821024,5,predictive
7,ma_rec,0.6060551047325136,0.007624173906021713,5,predictive
