step,metric,mean,std,type
0,ma_f_b,0.6928368926048278,0.012687737235635802,predictive
0,ma_prec,0.6770740628242493,0.011511633687734533,predictive
0,ma_rec,0.7414931654930115,0.017255155809487614,predictive
0,mae,0.22390564084053038,0.01327427578350219,predictive
0,mi_acc,0.776094377040863,0.01327426867947762,predictive
0,mi_auc,0.7414931780207643,0.017255147557707594,predictive
0,mi_f_b,0.8526863932609559,0.010130918631111433,predictive
0,mi_prec,0.9167234301567078,0.014228823855169409,predictive
0,mi_rec,0.7973467350006104,0.01923908185758082,predictive
0,rmse,0.47302286028862,0.013920383606441274,predictive
0,meta_doa,0.49195308319728914,0.004346558424886156,meta
0,pc-er,-0.006182861328125,0.08468594277804761,meta
0,rm,0.048175663468258675,0.02051272142653571,meta
1,ma_f_b,0.6913652658462525,0.01617397350845644,predictive
1,ma_prec,0.6757604598999023,0.014450471225066916,predictive
1,ma_rec,0.7401946067810059,0.018770512743729893,predictive
1,mae,0.22477723956108092,0.01526508062448795,predictive
1,mi_acc,0.7752227663993836,0.015265083410427293,predictive
1,mi_auc,0.7401946105196279,0.01877052563205117,predictive
1,mi_f_b,0.8521854519844055,0.011232047923106845,predictive
1,mi_prec,0.9165964961051941,0.013820536314382669,predictive
1,mi_rec,0.7965798854827881,0.0206626825963059,predictive
1,rmse,0.4738933026790619,0.015905310699331515,predictive
1,meta_doa,0.49382483269006466,0.006182617257396578,meta
1,pc-er,0.002825927734375,0.19556587187925367,meta
1,rm,0.10572056692999485,0.033161190417614776,meta
2,ma_f_b,0.692714786529541,0.017383628108894003,predictive
2,ma_prec,0.6768329501152038,0.015557075359449057,predictive
2,ma_rec,0.7424077153205871,0.018498429859431908,predictive
2,mae,0.22350979149341582,0.016151367427387483,predictive
2,mi_acc,0.7764902234077453,0.016151344934092083,predictive
2,mi_auc,0.7424077178222512,0.018498429194938822,predictive
2,mi_f_b,0.8531056880950928,0.011800592800941187,predictive
2,mi_prec,0.9181269526481628,0.012375064425225851,predictive
2,mi_rec,0.7970061659812927,0.021172990808510664,predictive
2,rmse,0.4725269615650177,0.016884439237827262,predictive
2,meta_doa,0.4947183016977873,0.0065442876121107755,meta
2,pc-er,0.09124755859375,0.08958320571461541,meta
2,rm,0.15253863364719505,0.04070498507805429,meta
3,ma_f_b,0.6934645891189575,0.0160656586719351,predictive
3,ma_prec,0.6773401975631714,0.014000902045597468,predictive
3,ma_rec,0.7440033316612243,0.018059259854045363,predictive
3,mae,0.2226971745491028,0.01525734615088246,predictive
3,mi_acc,0.7773028254508972,0.015257341676756147,predictive
3,mi_auc,0.7440033414578675,0.018059245002610292,predictive
3,mi_f_b,0.8537276983261108,0.011168199934639637,predictive
3,mi_prec,0.9193285465240478,0.01202030626161654,predictive
3,mi_rec,0.7971684217453003,0.02026315915485307,predictive
3,rmse,0.47168976068496704,0.01604481609777434,predictive
3,meta_doa,0.4960489960309258,0.0076672530217055355,meta
3,pc-er,0.0914093017578125,0.053408638576951176,meta
3,rm,0.19922108326975846,0.05659365960322851,meta
4,ma_f_b,0.6913846850395202,0.018353538645427617,predictive
4,ma_prec,0.6753762364387512,0.01593849915949548,predictive
4,ma_rec,0.7425853252410889,0.019280706967835633,predictive
4,mae,0.22375222742557527,0.01653891937312793,predictive
4,mi_acc,0.776247775554657,0.01653891274072234,predictive
4,mi_auc,0.7425853279027177,0.019280703930116223,predictive
4,mi_f_b,0.8531700730323791,0.011911174618866937,predictive
4,mi_prec,0.9195539593696594,0.011496507290048185,predictive
4,mi_rec,0.7960214018821716,0.020931828017306805,predictive
4,rmse,0.472771143913269,0.01730883242491019,predictive
4,meta_doa,0.49629038412476767,0.00858443519185546,meta
4,pc-er,0.06428909301757812,0.08450518215144567,meta
4,rm,0.22842918947750396,0.06530300741742674,meta
5,ma_f_b,0.6906145095825196,0.017309117217474402,predictive
5,ma_prec,0.6746429681777955,0.014996716934852217,predictive
5,ma_rec,0.7416732549667359,0.018456724180191047,predictive
