step,metric,mean,std,type
0,ma_f_b,0.43835354447364805,0.007147033530678753,predictive
0,ma_prec,0.5048584818840027,0.0042314574753781285,predictive
0,ma_rec,0.5461735725402832,0.03780324965553806,predictive
0,mae,0.34617435932159424,0.011205863958919671,predictive
0,mi_acc,0.7024080753326416,0.014893721948863129,predictive
0,mi_f_b,0.8233555674552917,0.010632779512042048,predictive
0,mi_prec,0.9810170292854309,0.002315748665709998,predictive
0,mi_rec,0.7094951510429383,0.01637565537200471,predictive
0,rmse,0.49566164016723635,0.016184682390719685,predictive
0,meta_doa,0.49024235129089383,0.0037785434352637323,meta
0,pc-er,0.1444427490234375,0.1209720340188512,meta
0,rm,-0.004998927138626349,0.01893769064528321,meta
1,ma_f_b,0.43833338618278506,0.007109014673405516,predictive
1,ma_prec,0.5048278450965882,0.004177609824785107,predictive
1,ma_rec,0.5457618951797485,0.037184353976593656,predictive
1,mae,0.34616889953613283,0.011205167894358627,predictive
1,mi_acc,0.7023648500442505,0.014887794952439228,predictive
1,mi_f_b,0.8233253002166748,0.010630976144465643,predictive
1,mi_prec,0.9809557557106018,0.002310063303241486,predictive
1,mi_rec,0.7094822883605957,0.016375143584625506,predictive
1,rmse,0.49562034010887146,0.016191569604928194,predictive
1,meta_doa,0.49023190489797147,0.003766350524549639,meta
1,pc-er,0.144561767578125,0.12090649662672984,meta
1,rm,-0.005008179288874337,0.018950893700006282,meta
2,ma_f_b,0.43831488490104675,0.0071231931407714725,predictive
2,ma_prec,0.5047975182533264,0.004172719375257613,predictive
2,ma_rec,0.5453918218612671,0.03712936868556198,predictive
2,mae,0.34616010785102846,0.011205799821591976,predictive
2,mi_acc,0.702323067188263,0.01495041009990945,predictive
2,mi_f_b,0.8232954621315003,0.010675781841991425,predictive
2,mi_prec,0.9808951020240784,0.0023457354601691665,predictive
2,mi_rec,0.7094690680503846,0.01639368749641469,predictive
2,rmse,0.4955752193927765,0.016189036038177323,predictive
2,meta_doa,0.4902427246103942,0.0037490864640853825,meta
2,pc-er,0.14454345703125,0.12083641298087314,meta
2,rm,-0.005011287262547191,0.018949438503541787,meta
3,ma_f_b,0.43831488490104675,0.0071231931407714725,predictive
3,ma_prec,0.5047975182533264,0.004172719375257613,predictive
3,ma_rec,0.5453918218612671,0.03712936868556198,predictive
3,mae,0.3461450099945068,0.011204979311895702,predictive
3,mi_acc,0.702323067188263,0.01495041009990945,predictive
3,mi_f_b,0.8232954621315003,0.010675781841991425,predictive
3,mi_prec,0.9808951020240784,0.0023457354601691665,predictive
3,mi_rec,0.7094690680503846,0.01639368749641469,predictive
3,rmse,0.49551963806152344,0.01619770808082126,predictive
3,meta_doa,0.4902402425984027,0.003745709161674917,meta
3,pc-er,0.1446563720703125,0.12078294379482718,meta
3,rm,-0.005010609672896237,0.01894760245966073,meta
4,ma_f_b,0.43833338618278506,0.007109014673405516,predictive
4,ma_prec,0.5048278450965882,0.004177609824785107,predictive
4,ma_rec,0.5457618951797485,0.037184353976593656,predictive
4,mae,0.34613348841667174,0.011208998678482879,predictive
4,mi_acc,0.7023648500442505,0.014887794952439228,predictive
4,mi_f_b,0.8233253002166748,0.010630976144465643,predictive
