step,metric,mean,std,type
0,ma_f_b,0.48557886481285095,0.01740749307998209,predictive
0,ma_prec,0.5052415788173675,0.010979477607429155,predictive
0,ma_rec,0.5068618655204773,0.014403499440960626,predictive
0,mae,0.4310630798339844,0.01073970893379282,predictive
0,mi_acc,0.5712622284889222,0.011887106497207856,predictive
0,mi_f_b,0.6953181982040405,0.009352886979936893,predictive
0,mi_prec,0.7985246300697326,0.013156152795104507,predictive
0,mi_rec,0.616079592704773,0.017441120299120236,predictive
0,rmse,0.5678153276443482,0.011412380490390686,predictive
0,meta_doa,0.4783144249212735,0.01856732565658466,meta
0,pc-er,0.02508697509765625,0.07003433916895185,meta
0,rm,-0.022684614278373823,0.03320484956919423,meta
1,ma_f_b,0.4853229224681854,0.01724282421131192,predictive
1,ma_prec,0.5050219476222992,0.010801733879329874,predictive
1,ma_rec,0.5065466165542603,0.014142257001577655,predictive
1,mae,0.4310200273990631,0.010721089785208264,predictive
1,mi_acc,0.5710556745529175,0.011695476242170667,predictive
1,mi_f_b,0.6951694369316102,0.009281757996703742,predictive
1,mi_prec,0.7983571290969849,0.013470145160097216,predictive
1,mi_rec,0.6159491181373596,0.017347222657248133,predictive
1,rmse,0.5677542805671691,0.01138986735677154,predictive
1,meta_doa,0.47828615252537343,0.01853251012983157,meta
1,pc-er,0.025115203857421876,0.07000769932687134,meta
1,rm,-0.022680415793222438,0.03320109412514962,meta
2,ma_f_b,0.4855054557323456,0.016921304614141642,predictive
2,ma_prec,0.5051471769809723,0.010684989336741751,predictive
2,ma_rec,0.5067618370056153,0.013951437501074391,predictive
2,mae,0.43097415566444397,0.010701540904258481,predictive
2,mi_acc,0.5711615681648254,0.011462124900404635,predictive
2,mi_f_b,0.695220685005188,0.009179946251686675,predictive
2,mi_prec,0.7983571290969849,0.013470145160097216,predictive
2,mi_rec,0.6160229444503784,0.017129921268526627,predictive
2,rmse,0.5676955580711365,0.011374845022631792,predictive
2,meta_doa,0.47829422143503136,0.018533614718843804,meta
2,pc-er,0.025101470947265624,0.06999805014026807,meta
2,rm,-0.022674768462620218,0.03319592141848485,meta
3,ma_f_b,0.4856580436229706,0.0172431528533901,predictive
3,ma_prec,0.5053146779537201,0.011047351487479193,predictive
3,ma_rec,0.5069976806640625,0.014456219633268647,predictive
3,mae,0.4309417366981506,0.01069785979826224,predictive
3,mi_acc,0.5713680624961853,0.011731696993313794,predictive
3,mi_f_b,0.6954160332679749,0.00923548582559887,predictive
3,mi_prec,0.7986921310424805,0.01284540648873738,predictive
3,mi_rec,0.6161230444908142,0.017241254950771563,predictive
3,rmse,0.5676466703414917,0.011362968940600232,predictive
3,meta_doa,0.47829589727639343,0.01851853822933159,meta
3,pc-er,0.025102996826171876,0.07001892416117592,meta
3,rm,-0.022671412634270183,0.03319047147240355,meta
4,ma_f_b,0.48630437850952146,0.01760652196640882,predictive
4,ma_prec,0.5058924913406372,0.0112107993005374,predictive
4,ma_rec,0.5077853083610535,0.014554407079568083,predictive
4,mae,0.4308621406555176,0.010702459015124302,predictive
4,mi_acc,0.5718867540359497,0.011639314924126086,predictive
4,mi_f_b,0.6957645893096924,0.009038808275835196,predictive
4,mi_prec,0.7990376830101014,0.013110983124345011,predictive
4,mi_rec,0.6164782047271729,0.01730964884535907,predictive
4,rmse,0.567527437210083,0.011358781502219119,predictive
4,meta_doa,0.4782953225752591,0.01851227246987823,meta
4,pc-er,0.025107574462890626,0.06997937036801338,meta
4,rm,-0.02266619671554628,0.03318378014650166,meta
5,ma_f_b,0.48666900396347046,0.01756885189346219,predictive
5,ma_prec,0.5061702132225037,0.011115687584788637,predictive
5,ma_rec,0.5081869244575501,0.01442955715755401,predictive
5,mae,0.43080476522445676,0.010697469683180387,predictive
5,mi_acc,0.5720947265625,0.011769850278055445,predictive
5,mi_f_b,0.6958672881126404,0.009149615271079357,predictive
5,mi_prec,0.7990376830101014,0.013110983124345011,predictive
5,mi_rec,0.6166414618492126,0.01743580994576442,predictive
5,rmse,0.5674273610115051,0.011346787432519826,predictive
5,meta_doa,0.4782762159587851,0.018547912722133075,meta
5,pc-er,0.025083160400390624,0.0699352597525162,meta
5,rm,-0.022661214627184283,0.03317459706327464,meta
6,ma_f_b,0.4873318910598755,0.01755251724638239,predictive
6,ma_prec,0.5067300438880921,0.011123888027891637,predictive
6,ma_rec,0.5089937388896942,0.01434595880558394,predictive
6,mae,0.4307320356369019,0.01067482240063338,predictive
6,mi_acc,0.5726156234741211,0.01180112628200613,predictive
6,mi_f_b,0.696211063861847,0.00929521335626915,predictive
6,mi_prec,0.7993693590164185,0.01311519199639347,predictive
6,mi_rec,0.6169784069061279,0.017432662919104464,predictive
6,rmse,0.567311704158783,0.011319668165692515,predictive
6,meta_doa,0.4782867428276186,0.018553528320851855,meta
6,pc-er,0.0250732421875,0.06987149748693804,meta
6,rm,-0.022658363256836966,0.03317009901370887,meta
7,ma_f_b,0.4875831127166748,0.017490161985363382,predictive
7,ma_prec,0.5069470167160034,0.011182856474684802,predictive
7,ma_rec,0.5093255400657654,0.014400515609622569,predictive
7,mae,0.43066378831863406,0.010659767990428505,predictive
7,mi_acc,0.5728225708007812,0.011589116443353283,predictive
7,mi_f_b,0.6963615775108337,0.00904446770117506,predictive
7,mi_prec,0.7995455503463745,0.013054749432999517,predictive
7,mi_rec,0.6171088099479676,0.01726143422354249,predictive
7,rmse,0.5672023296356201,0.01129738910247416,predictive
7,meta_doa,0.47829695930053007,0.01854512392275929,meta
7,pc-er,0.025067901611328124,0.06986019545239093,meta
7,rm,-0.022656275477293552,0.03316420004735022,meta
8,ma_f_b,0.4877998411655426,0.017468324866067954,predictive
8,ma_prec,0.5070398271083831,0.01127567553019873,predictive
8,ma_rec,0.5094689130783081,0.014571203146667764,predictive
8,mae,0.4305489480495453,0.010662442069655118,predictive
8,mi_acc,0.5728230118751526,0.011911164504544543,predictive
8,mi_f_b,0.6962682366371155,0.009422426040730458,predictive
8,mi_prec,0.7991983294487,0.013108792558486076,predictive
8,mi_rec,0.6171618103981018,0.01736418448354317,predictive
8,rmse,0.5670178055763244,0.01128394519420528,predictive
8,meta_doa,0.4782964246679978,0.018556763953244095,meta
8,pc-er,0.025052642822265624,0.06986587984654127,meta
8,rm,-0.0226503524325972,0.0331523469359638,meta
9,ma_f_b,0.48856387138366697,0.017311261898080597,predictive
9,ma_prec,0.5076460301876068,0.0112430615763044,predictive
9,ma_rec,0.5103496074676513,0.014423277544894577,predictive
9,mae,0.43042343854904175,0.010641759920322987,predictive
9,mi_acc,0.5733416318893433,0.011653570123130093,predictive
9,mi_f_b,0.6965678095817566,0.009298088197920473,predictive
9,mi_prec,0.7993649959564209,0.013192781087019207,predictive
9,mi_rec,0.6175289630889893,0.0171612048467384,predictive
9,rmse,0.5668254613876342,0.01125984405908444,predictive
9,meta_doa,0.478289722221857,0.018530310719276473,meta
9,pc-er,0.02505950927734375,0.06985349508226824,meta
9,rm,-0.022641486714062114,0.03314256058635892,meta
10,ma_f_b,0.48975757956504823,0.016068879413293075,predictive
10,ma_prec,0.50859534740448,0.010297563225835485,predictive
10,ma_rec,0.5117815256118774,0.01299279329519409,predictive
10,mae,0.4303070604801178,0.010604252469674242,predictive
10,mi_acc,0.5741746544837951,0.0103424144710796,predictive
10,mi_f_b,0.6970666527748108,0.008598470524792439,predictive
10,mi_prec,0.7997105479240417,0.013455450208710576,predictive
10,mi_rec,0.6180981636047364,0.016356513045104604,predictive
10,rmse,0.5666435837745667,0.011213755932792762,predictive
10,meta_doa,0.4782560522472593,0.018513826280042542,meta
10,pc-er,0.02503814697265625,0.06979778771556781,meta
10,rm,-0.022633546052822258,0.03313756468443571,meta
11,ma_f_b,0.4899419665336609,0.016236857437950808,predictive
11,ma_prec,0.5087320566177368,0.010516983852486101,predictive
11,ma_rec,0.5119749546051026,0.013318164288614192,predictive
11,mae,0.43019008040428164,0.010555983634283773,predictive
11,mi_acc,0.5742765545845032,0.010461375833208247,predictive
11,mi_f_b,0.6971208214759826,0.008539089086141226,predictive
11,mi_prec,0.7997122168540954,0.013133576740208097,predictive
11,mi_rec,0.6181804537773132,0.016397003364085568,predictive
11,rmse,0.5664580464363098,0.011160649764153024,predictive
11,meta_doa,0.47827140863559875,0.01854319238650458,meta
11,pc-er,0.0250396728515625,0.06980025273619901,meta
11,rm,-0.022626284137231827,0.03313245817069249,meta
12,ma_f_b,0.49030648469924926,0.01601935593580288,predictive
12,ma_prec,0.5090044379234314,0.01035055523617268,predictive
12,ma_rec,0.5123796224594116,0.013076478204727885,predictive
12,mae,0.42998744249343873,0.010547854709388238,predictive
12,mi_acc,0.5744858026504517,0.010442747163488418,predictive
12,mi_f_b,0.6972239375114441,0.008576962875429434,predictive
12,mi_prec,0.7997122168540954,0.013133576740208097,predictive
12,mi_rec,0.6183411002159118,0.016393535248221534,predictive
12,rmse,0.5661755323410034,0.011126125928161154,predictive
12,meta_doa,0.4782554210960985,0.018532581452623324,meta
12,pc-er,0.025041961669921876,0.06985468381143965,meta
12,rm,-0.022610948112870254,0.03311948586113461,meta
13,ma_f_b,0.4911644697189331,0.016337106064889546,predictive
13,ma_prec,0.5096771359443665,0.010630408057583541,predictive
13,ma_rec,0.513301956653595,0.013311123357835082,predictive
13,mae,0.42983006238937377,0.010495839754253168,predictive
13,mi_acc,0.5750057458877563,0.01032472792464687,predictive
13,mi_f_b,0.6974850773811341,0.008355408087673303,predictive
13,mi_prec,0.7997200727462769,0.013330647541373053,predictive
13,mi_rec,0.6187554955482483,0.016374387128362276,predictive
13,rmse,0.5659411907196045,0.01105970861230841,predictive
13,meta_doa,0.4782688297041073,0.01852045359562304,meta
13,pc-er,0.025034332275390626,0.06987682324993524,meta
13,rm,-0.02259953861673839,0.033108444397959354,meta
14,ma_f_b,0.4914357841014862,0.01625926981906216,predictive
14,ma_prec,0.5098533868789673,0.010531256293859481,predictive
14,ma_rec,0.5135411739349365,0.01316056643001937,predictive
14,mae,0.4296700477600098,0.010455088712912666,predictive
14,mi_acc,0.5751081824302673,0.010286703857687637,predictive
14,mi_f_b,0.6974889397621155,0.00841651230152109,predictive
14,mi_prec,0.7995464682579041,0.013354331175009069,predictive
14,mi_rec,0.6188629269599915,0.016350705269374252,predictive
14,rmse,0.5657014846801758,0.011011202161567564,predictive
14,meta_doa,0.4782955202892335,0.018547502652641008,meta
14,pc-er,0.025048065185546874,0.06986873727213155,meta
14,rm,-0.022596848942151988,0.03309946209458861,meta
15,ma_f_b,0.49192983508110044,0.016638698189869558,predictive
15,ma_prec,0.5102544903755188,0.010816136259412334,predictive
15,ma_rec,0.5140645384788514,0.013425905316403744,predictive
15,mae,0.4295184016227722,0.010395937369723513,predictive
15,mi_acc,0.5754189014434814,0.010107216281208134,predictive
15,mi_f_b,0.6976454377174377,0.008145461410474777,predictive
15,mi_prec,0.799552571773529,0.013646116864069425,predictive
15,mi_rec,0.6191167831420898,0.016313044105634403,predictive
15,rmse,0.565475070476532,0.010948684099081557,predictive
15,meta_doa,0.47828469939679097,0.01853114263044645,meta
15,pc-er,0.025046539306640626,0.069883484713886,meta
15,rm,-0.022597098767491497,0.03308549804933162,meta
-1,training_time,612.156,63.749317094381496,system
