step,metric,mean,std,type
0,ma_f_b,0.6724752426147461,0.007742943795254331,predictive
0,ma_prec,0.6718278527259827,0.007741991898099176,predictive
0,ma_rec,0.6756422400474549,0.007422253293876175,predictive
0,mae,0.3344015836715698,0.006191588204359997,predictive
0,mi_acc,0.6795415759086609,0.007366584157377907,predictive
0,mi_auc,0.6855666732111177,0.014288396803058137,predictive
0,mi_f_b,0.6247881054878235,0.012672721525653128,predictive
0,mi_prec,0.6014411568641662,0.02955627533833523,predictive
0,mi_rec,0.6512896180152893,0.01601760453829518,predictive
0,rmse,0.4987201392650604,0.012748926300332216,predictive
0,meta_doa,0.5394390635772336,0.006069642567450285,meta
0,pc-er,0.5142578125,0.09396236526623722,meta
0,rm,0.3755350809099222,0.018053362554116423,meta
1,ma_f_b,0.6728363037109375,0.009582726540018379,predictive
1,ma_prec,0.6720978021621704,0.009414368962290585,predictive
1,ma_rec,0.6763710498809814,0.008291875004464577,predictive
1,mae,0.33570700883865356,0.007512471010433491,predictive
1,mi_acc,0.6802790045738221,0.008825343423805787,predictive
1,mi_auc,0.6816987718973804,0.010833997797609945,predictive
1,mi_f_b,0.6238353252410889,0.014628003475482326,predictive
1,mi_prec,0.5976378321647644,0.029691408776756703,predictive
1,mi_rec,0.6535332202911377,0.013494594024480572,predictive
1,rmse,0.5001913607120514,0.013332876488182542,predictive
1,meta_doa,0.5650797655571497,0.006789714745301643,meta
1,pc-er,0.430126953125,0.2058112817572419,meta
1,rm,0.44536872075132183,0.016148395071903236,meta
2,ma_f_b,0.6724321126937867,0.014194896651268184,predictive
2,ma_prec,0.671638011932373,0.01391389100732747,predictive
2,ma_rec,0.6756552696228028,0.015193038288472863,predictive
2,mae,0.3347643196582794,0.007324493272241514,predictive
2,mi_acc,0.6796013712882996,0.014723006619449955,predictive
2,mi_auc,0.6859027319504221,0.009083589879253944,predictive
2,mi_f_b,0.6243280887603759,0.015031764799366033,predictive
2,mi_prec,0.5995944261550903,0.02235864611167806,predictive
2,mi_rec,0.6520896553993225,0.024002827532266617,predictive
2,rmse,0.4997645318508148,0.013112948452069489,predictive
2,meta_doa,0.5860014828070675,0.007003156855153935,meta
2,pc-er,0.2892822265625,0.17064077080862822,meta
2,rm,0.49962159089928004,0.013575150939811476,meta
3,ma_f_b,0.6741243958473205,0.012910966545055082,predictive
3,ma_prec,0.6733963370323182,0.012801525373716227,predictive
3,ma_rec,0.6776525735855102,0.011882538088631246,predictive
3,mae,0.3350094497203827,0.007445950809008324,predictive
3,mi_acc,0.6815146803855896,0.011813610896851857,predictive
3,mi_auc,0.6810281355011234,0.014214638093024205,predictive
3,mi_f_b,0.625438129901886,0.018955193936230966,predictive
3,mi_prec,0.5995619416236877,0.032846698010993894,predictive
3,mi_rec,0.6548298597335815,0.0178799059429468,predictive
3,rmse,0.49984714984893797,0.015013007174787235,predictive
3,meta_doa,0.6065684638404983,0.008752128706799407,meta
3,pc-er,0.26669921875,0.11152542433163082,meta
3,rm,0.5495262049733398,0.012140797443468639,meta
4,ma_f_b,0.6659693717956543,0.009438932999169676,predictive
4,ma_prec,0.665333890914917,0.009342684005717382,predictive
4,ma_rec,0.6693368196487427,0.008595404287221452,predictive
4,mae,0.3355834484100342,0.006507581812804788,predictive
4,mi_acc,0.6734628558158875,0.008955963887508354,predictive
4,mi_auc,0.689554944776707,0.010502759294785084,predictive
4,mi_f_b,0.6163144946098328,0.014133557796069863,predictive
4,mi_prec,0.5911995887756347,0.030166139805961622,predictive
