step,metric,mean,std,type
0,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
0,ma_prec,0.6481911420822144,0.03767928532354487,predictive
0,ma_rec,0.648248827457428,0.03842330406211054,predictive
0,mae,0.35603387355804444,0.03336556248678099,predictive
0,mi_acc,0.6439660906791687,0.033365562201957764,predictive
0,mi_auc,0.6482488365279394,0.03842331574898676,predictive
0,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
0,mi_prec,0.6860602021217346,0.0889760466935907,predictive
0,mi_rec,0.5835409045219422,0.03580963835012302,predictive
0,rmse,0.5961844682693481,0.02733930407232744,predictive
0,meta_doa,0.5368722902233939,0.0037386398890158087,meta
0,pc-er,0.509521484375,0.16963662946355546,meta
0,rm,0.3605695454784259,0.010959467922858767,meta
1,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
1,ma_prec,0.6481911420822144,0.03767928532354487,predictive
1,ma_rec,0.648248827457428,0.03842330406211054,predictive
1,mae,0.35603387355804444,0.03336556248678099,predictive
1,mi_acc,0.6439660906791687,0.033365562201957764,predictive
1,mi_auc,0.6482488365279394,0.03842331574898676,predictive
1,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
1,mi_prec,0.6860602021217346,0.0889760466935907,predictive
1,mi_rec,0.5835409045219422,0.03580963835012302,predictive
1,rmse,0.5961844682693481,0.02733930407232744,predictive
1,meta_doa,0.5590007947656448,0.003404454713473723,meta
1,pc-er,0.45615234375,0.1691586773337221,meta
1,rm,0.42497426182322673,0.008131603149056884,meta
2,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
2,ma_prec,0.6481911420822144,0.03767928532354487,predictive
2,ma_rec,0.648248827457428,0.03842330406211054,predictive
2,mae,0.35603387355804444,0.03336556248678099,predictive
2,mi_acc,0.6439660906791687,0.033365562201957764,predictive
2,mi_auc,0.6482488365279394,0.03842331574898676,predictive
2,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
2,mi_prec,0.6860602021217346,0.0889760466935907,predictive
2,mi_rec,0.5835409045219422,0.03580963835012302,predictive
2,rmse,0.5961844682693481,0.02733930407232744,predictive
2,meta_doa,0.5760644450215237,0.003662354999470073,meta
2,pc-er,0.459716796875,0.18763092556211228,meta
2,rm,0.4734847716385825,0.007335574238197592,meta
3,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
3,ma_prec,0.6481911420822144,0.03767928532354487,predictive
3,ma_rec,0.648248827457428,0.03842330406211054,predictive
3,mae,0.35603387355804444,0.03336556248678099,predictive
3,mi_acc,0.6439660906791687,0.033365562201957764,predictive
3,mi_auc,0.6482488365279394,0.03842331574898676,predictive
3,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
3,mi_prec,0.6860602021217346,0.0889760466935907,predictive
3,mi_rec,0.5835409045219422,0.03580963835012302,predictive
3,rmse,0.5961844682693481,0.02733930407232744,predictive
3,meta_doa,0.5913293675685143,0.004497275414795554,meta
3,pc-er,0.4458984375,0.21587406369411014,meta
3,rm,0.5162095836113632,0.007713760606303442,meta
4,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
4,ma_prec,0.6481911420822144,0.03767928532354487,predictive
4,ma_rec,0.648248827457428,0.03842330406211054,predictive
4,mae,0.35603387355804444,0.03336556248678099,predictive
4,mi_acc,0.6439660906791687,0.033365562201957764,predictive
4,mi_auc,0.6482488365279394,0.03842331574898676,predictive
4,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
4,mi_prec,0.6860602021217346,0.0889760466935907,predictive
4,mi_rec,0.5835409045219422,0.03580963835012302,predictive
4,rmse,0.5961844682693481,0.02733930407232744,predictive
4,meta_doa,0.6040663652608513,0.004577782612106411,meta
4,pc-er,0.480712890625,0.19615145742247853,meta
4,rm,0.5560506243174705,0.007084084369606237,meta
5,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
5,ma_prec,0.6481911420822144,0.03767928532354487,predictive
5,ma_rec,0.648248827457428,0.03842330406211054,predictive
5,mae,0.35603387355804444,0.03336556248678099,predictive
5,mi_acc,0.6439660906791687,0.033365562201957764,predictive
5,mi_auc,0.6482488365279394,0.03842331574898676,predictive
5,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
5,mi_prec,0.6860602021217346,0.0889760466935907,predictive
5,mi_rec,0.5835409045219422,0.03580963835012302,predictive
5,rmse,0.5961844682693481,0.02733930407232744,predictive
5,meta_doa,0.6149743143429371,0.006234052679141831,meta
5,pc-er,0.464990234375,0.17859880441904108,meta
5,rm,0.5911826786673845,0.007090845759434957,meta
6,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
6,ma_prec,0.6481911420822144,0.03767928532354487,predictive
6,ma_rec,0.648248827457428,0.03842330406211054,predictive
6,mae,0.35603387355804444,0.03336556248678099,predictive
6,mi_acc,0.6439660906791687,0.033365562201957764,predictive
6,mi_auc,0.6482488365279394,0.03842331574898676,predictive
6,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
6,mi_prec,0.6860602021217346,0.0889760466935907,predictive
6,mi_rec,0.5835409045219422,0.03580963835012302,predictive
6,rmse,0.5961844682693481,0.02733930407232744,predictive
6,meta_doa,0.625852419365877,0.007305185018085178,meta
6,pc-er,0.512890625,0.17149122915277787,meta
6,rm,0.6224712550685861,0.007101405062519316,meta
7,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
7,ma_prec,0.6481911420822144,0.03767928532354487,predictive
7,ma_rec,0.648248827457428,0.03842330406211054,predictive
7,mae,0.35603387355804444,0.03336556248678099,predictive
7,mi_acc,0.6439660906791687,0.033365562201957764,predictive
7,mi_auc,0.6482488365279394,0.03842331574898676,predictive
7,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
7,mi_prec,0.6860602021217346,0.0889760466935907,predictive
7,mi_rec,0.5835409045219422,0.03580963835012302,predictive
7,rmse,0.5961844682693481,0.02733930407232744,predictive
7,meta_doa,0.6326566783271763,0.008004863203033414,meta
7,pc-er,0.46162109375,0.13509046684615386,meta
7,rm,0.6506809920106761,0.007067450225146465,meta
8,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
8,ma_prec,0.6481911420822144,0.03767928532354487,predictive
8,ma_rec,0.648248827457428,0.03842330406211054,predictive
8,mae,0.35603387355804444,0.03336556248678099,predictive
8,mi_acc,0.6439660906791687,0.033365562201957764,predictive
8,mi_auc,0.6482488365279394,0.03842331574898676,predictive
8,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
8,mi_prec,0.6860602021217346,0.0889760466935907,predictive
8,mi_rec,0.5835409045219422,0.03580963835012302,predictive
8,rmse,0.5961844682693481,0.02733930407232744,predictive
8,meta_doa,0.6396511945673907,0.00899508192967066,meta
8,pc-er,0.491650390625,0.10378021397772766,meta
8,rm,0.6774174104088789,0.006815368822435973,meta
9,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
9,ma_prec,0.6481911420822144,0.03767928532354487,predictive
9,ma_rec,0.648248827457428,0.03842330406211054,predictive
9,mae,0.35603387355804444,0.03336556248678099,predictive
9,mi_acc,0.6439660906791687,0.033365562201957764,predictive
9,mi_auc,0.6482488365279394,0.03842331574898676,predictive
9,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
9,mi_prec,0.6860602021217346,0.0889760466935907,predictive
9,mi_rec,0.5835409045219422,0.03580963835012302,predictive
9,rmse,0.5961844682693481,0.02733930407232744,predictive
9,meta_doa,0.6470945885622357,0.0096301192376976,meta
9,pc-er,0.500439453125,0.13992499862924437,meta
9,rm,0.7042203019964178,0.006539758776096386,meta
10,ma_f_b,0.6425541043281555,0.034959672270498246,predictive
10,ma_prec,0.6481911420822144,0.03767928532354487,predictive
10,ma_rec,0.648248827457428,0.03842330406211054,predictive
10,mae,0.35603387355804444,0.03336556248678099,predictive
10,mi_acc,0.6439660906791687,0.033365562201957764,predictive
10,mi_auc,0.6482488365279394,0.03842331574898676,predictive
10,mi_f_b,0.6292690992355346,0.05276910817520591,predictive
