step,metric,mean,std,type
0,ma_f_b,0.6776371717453002,0.01057901851734231,predictive
0,ma_prec,0.677079725265503,0.010225670614690867,predictive
0,ma_rec,0.680487310886383,0.012402168816635563,predictive
0,mae,0.31595414876937866,0.01203236654943,predictive
0,mi_acc,0.6840458273887634,0.012032370782420507,predictive
0,mi_auc,0.6804873087775236,0.012402165550937561,predictive
0,mi_f_b,0.6330430984497071,0.010831183858885667,predictive
0,mi_prec,0.6140283703804016,0.029085072234009003,predictive
0,mi_rec,0.654947030544281,0.02408992690322257,predictive
0,rmse,0.5620163679122925,0.010709605173179875,predictive
0,meta_doa,0.5403121317637165,0.005741959965053163,meta
0,pc-er,0.06932373046875,0.005698278275010246,meta
0,rm,0.38071420772119086,0.01565142903953484,meta
1,ma_f_b,0.6814361333847045,0.010656691754614913,predictive
1,ma_prec,0.6806116104125977,0.010294008099174301,predictive
1,ma_rec,0.6845584511756897,0.01230547078884899,predictive
1,mae,0.3118086516857147,0.011762435010313984,predictive
1,mi_acc,0.688191294670105,0.011762428445714259,predictive
1,mi_auc,0.6845584678358224,0.01230545922459106,predictive
1,mi_f_b,0.6355055332183838,0.009943215700670478,predictive
1,mi_prec,0.6121584415435791,0.02088347781704316,predictive
1,mi_rec,0.6617307662963867,0.022394504108659546,predictive
1,rmse,0.5583187222480774,0.010539264281719408,predictive
1,meta_doa,0.5656489525068452,0.007517829619297132,meta
1,pc-er,0.067706298828125,0.01962450651896889,meta
1,rm,0.4487912907435591,0.014315620755090052,meta
2,ma_f_b,0.6839868903160096,0.009347993168955663,predictive
2,ma_prec,0.6831750988960266,0.009188109577125863,predictive
2,ma_rec,0.6865164518356324,0.009764087233832314,predictive
2,mae,0.3096362590789795,0.009488710989079965,predictive
2,mi_acc,0.6903637051582336,0.009488727092239,predictive
2,mi_auc,0.6865164515215086,0.00976409099062416,predictive
2,mi_f_b,0.6393940448760986,0.011459660019343149,predictive
2,mi_prec,0.6183597087860108,0.0205176553250883,predictive
2,mi_rec,0.6625591874122619,0.01701016459755007,predictive
2,rmse,0.5563976168632507,0.008511550904715181,predictive
2,meta_doa,0.5866253993495306,0.007525394374201516,meta
2,pc-er,0.064935302734375,0.017691411436774634,meta
2,rm,0.500825063479704,0.013197141457582339,meta
3,ma_f_b,0.6870943427085876,0.009292249777540309,predictive
3,ma_prec,0.6862413763999939,0.00910679520824943,predictive
3,ma_rec,0.6894040465354919,0.009733851411631654,predictive
3,mae,0.3067264437675476,0.009694112519235971,predictive
3,mi_acc,0.6932735204696655,0.009694141929264908,predictive
3,mi_auc,0.6894040619985561,0.009733844295309118,predictive
3,mi_f_b,0.643366277217865,0.009954049345614032,predictive
3,mi_prec,0.6230653166770935,0.016517159305070615,predictive
3,mi_rec,0.665462338924408,0.015155982361521507,predictive
3,rmse,0.55377357006073,0.008752464962895203,predictive
3,meta_doa,0.605887620883612,0.009241390276417663,meta
3,pc-er,0.0645751953125,0.01501533072557387,meta
3,rm,0.5459118783234591,0.01163643173024638,meta
4,ma_f_b,0.691366708278656,0.008547786020741924,predictive
4,ma_prec,0.690412700176239,0.008460580346079445,predictive
4,ma_rec,0.6936469197273254,0.008597642041559201,predictive
4,mae,0.30248129963874815,0.008605441243835325,predictive
4,mi_acc,0.6975186586380004,0.008605449543776247,predictive
4,mi_auc,0.6936469140369119,0.008597657896585892,predictive
4,mi_f_b,0.6479417443275451,0.00993225746310894,predictive
4,mi_prec,0.6268372058868408,0.013107187958454128,predictive
4,mi_rec,0.6706663489341735,0.01141807375552728,predictive
4,rmse,0.5499377965927124,0.007881816232294038,predictive
4,meta_doa,0.625351800199901,0.008156813484281343,meta
4,pc-er,0.067608642578125,0.013941918074858145,meta
4,rm,0.5862032222646818,0.010347391652610413,meta
5,ma_f_b,0.6948856711387634,0.01094941149646134,predictive
5,ma_prec,0.6939756751060486,0.01099740027024898,predictive
5,ma_rec,0.6968003749847412,0.010693295781904784,predictive
5,mae,0.2992924690246582,0.010560818808411558,predictive
5,mi_acc,0.7007074952125549,0.010560833051850042,predictive
5,mi_auc,0.6968003819291829,0.01069329192195689,predictive
5,mi_f_b,0.6529036521911621,0.01385961709697922,predictive
5,mi_prec,0.6340148448944092,0.016731235279715654,predictive
5,mi_rec,0.673013174533844,0.01177949976293857,predictive
5,rmse,0.5470069050788879,0.009741112470198748,predictive
5,meta_doa,0.6419938479356702,0.00689430404439232,meta
5,pc-er,0.069635009765625,0.014443173720048054,meta
5,rm,0.6222954982356271,0.009357940104680029,meta
6,ma_f_b,0.6951379537582397,0.010799042809932562,predictive
6,ma_prec,0.6942569851875305,0.010835306941921712,predictive
6,ma_rec,0.6969083070755004,0.010592225150776428,predictive
6,mae,0.29915295243263246,0.010287509770973178,predictive
6,mi_acc,0.7008470058441162,0.01028751770978404,predictive
6,mi_auc,0.6969082929346202,0.010592259122928828,predictive
6,mi_f_b,0.6536090135574341,0.014227544191120033,predictive
6,mi_prec,0.6357220053672791,0.01652473996486191,predictive
6,mi_rec,0.6725753664970398,0.01243994291795711,predictive
6,rmse,0.5468829274177551,0.009487502939318618,predictive
6,meta_doa,0.6562582716836054,0.006126763026089103,meta
6,pc-er,0.074267578125,0.01616806197249013,meta
6,rm,0.6545252016118169,0.008210874132917798,meta
7,ma_f_b,0.6968211650848388,0.00880445853675442,predictive
7,ma_prec,0.6959800481796264,0.008896958713140602,predictive
7,ma_rec,0.6984393477439881,0.008463824765753424,predictive
7,mae,0.2976382553577423,0.008351517427885658,predictive
7,mi_acc,0.7023617029190063,0.008351506173017144,predictive
7,mi_auc,0.6984393652861625,0.00846384647340957,predictive
7,mi_f_b,0.6560818433761597,0.012338779606486567,predictive
7,mi_prec,0.6394805431365966,0.016048724437456672,predictive
7,mi_rec,0.6736269474029541,0.00886112767061183,predictive
7,rmse,0.5455185890197753,0.007723018055890958,predictive
7,meta_doa,0.6695925745457728,0.005626641655795181,meta
7,pc-er,0.0779541015625,0.019047731635315836,meta
7,rm,0.6829491626813411,0.007742456767447229,meta
8,ma_f_b,0.696975564956665,0.009892203833374913,predictive
8,ma_prec,0.6961175918579101,0.009949588004314074,predictive
8,ma_rec,0.69861319065094,0.009645222603387,predictive
8,mae,0.29745888113975527,0.00930952002913767,predictive
8,mi_acc,0.7025410771369934,0.009309530795749334,predictive
8,mi_auc,0.6986132037305904,0.009645230683724868,predictive
8,mi_f_b,0.6560970902442932,0.013484682643494448,predictive
8,mi_prec,0.6391208291053772,0.015467518789871102,predictive
8,mi_rec,0.6740180015563965,0.011323648412936097,predictive
8,rmse,0.5453438878059387,0.008581161425681008,predictive
8,meta_doa,0.6817495326997299,0.005887292066724537,meta
8,pc-er,0.081402587890625,0.021305920986590506,meta
8,rm,0.7097192333356387,0.007267823847779757,meta
9,ma_f_b,0.6982185363769531,0.010471316197806065,predictive
9,ma_prec,0.6973913311958313,0.010554837688331284,predictive
9,ma_rec,0.6997759342193604,0.010172994002840406,predictive
9,mae,0.2963228583335876,0.010026860735752966,predictive
9,mi_acc,0.7036771059036255,0.010026851657596937,predictive
9,mi_auc,0.6997759412042766,0.01017301475697761,predictive
9,mi_f_b,0.6577770709991455,0.013450818253967439,predictive
9,mi_prec,0.641414999961853,0.015900435934311754,predictive
9,mi_rec,0.6750212550163269,0.010926404857555604,predictive
9,rmse,0.544291889667511,0.009299832764450462,predictive
9,meta_doa,0.6949788841408168,0.005594376659794658,meta
9,pc-er,0.08477783203125,0.023005760826769646,meta
9,rm,0.7362322586276147,0.006843500324233929,meta
10,ma_f_b,0.6981002688407898,0.011371082176683776,predictive
10,ma_prec,0.6973121762275696,0.01138187030199408,predictive
10,ma_rec,0.6995510339736939,0.011246964889362393,predictive
10,mae,0.296542102098465,0.011061603052118812,predictive
10,mi_acc,0.7034578800201416,0.011061582016586038,predictive
10,mi_auc,0.6995510423869822,0.011246968426464218,predictive
10,mi_f_b,0.6580020904541015,0.013784032709727478,predictive
10,mi_prec,0.642466402053833,0.015115657237292924,predictive
10,mi_rec,0.6743364214897156,0.01300569825924047,predictive
10,rmse,0.5444794058799743,0.010264001424204954,predictive
10,meta_doa,0.7070857621569672,0.004708953484323192,meta
10,pc-er,0.088531494140625,0.024940274839496727,meta
10,rm,0.7606239170468769,0.006298830717360519,meta
11,ma_f_b,0.6953760385513306,0.010996461166612589,predictive
11,ma_prec,0.6947107195854187,0.010994945152971584,predictive
11,ma_rec,0.6965515375137329,0.010920909127852783,predictive
11,mae,0.29947184324264525,0.010824517920789166,predictive
11,mi_acc,0.7005281209945678,0.010824523805853201,predictive
11,mi_auc,0.6965515496684432,0.01092090782241445,predictive
11,mi_f_b,0.6558591008186341,0.012800662304302785,predictive
11,mi_prec,0.6426344871520996,0.014289692862933528,predictive
11,mi_rec,0.6696956157684326,0.012830249681710952,predictive
11,rmse,0.5471673250198364,0.009984542701974214,predictive
11,meta_doa,0.7183094555229115,0.0033882322139146067,meta
11,pc-er,0.089727783203125,0.026154671893715366,meta
11,rm,0.7832358034118064,0.005729303534975849,meta
12,ma_f_b,0.694225263595581,0.010499942705966136,predictive
12,ma_prec,0.6936336040496827,0.010515663248395694,predictive
12,ma_rec,0.6952898263931274,0.010366907774600465,predictive
12,mae,0.3007274389266968,0.010329508452441499,predictive
12,mi_acc,0.6992725133895874,0.010329517120874158,predictive
12,mi_auc,0.6952898174793938,0.010366897446269719,predictive
12,mi_f_b,0.6550017237663269,0.012130678238015934,predictive
12,mi_prec,0.6428953766822815,0.014586125797945862,predictive
12,mi_rec,0.6676733374595643,0.012513331953286728,predictive
12,rmse,0.5483203411102295,0.009503755458220966,predictive
12,meta_doa,0.7279739404832222,0.0036788378572284483,meta
12,pc-er,0.091473388671875,0.02688160058404692,meta
12,rm,0.8037934453024661,0.005370299918978291,meta
13,ma_f_b,0.6928508162498475,0.008345174439967351,predictive
13,ma_prec,0.6923503518104553,0.008406629093615083,predictive
13,ma_rec,0.6938044667243958,0.008104592721514281,predictive
13,mae,0.3022222101688385,0.008214542285536428,predictive
13,mi_acc,0.6977777600288391,0.008214559548792641,predictive
13,mi_auc,0.6938044676490789,0.00810460550273334,predictive
13,mi_f_b,0.6539954900741577,0.009683476117537915,predictive
13,mi_prec,0.6432485938072204,0.01442317952635558,predictive
13,mi_rec,0.6652836441993714,0.010588011709431333,predictive
13,rmse,0.54970623254776,0.007522249538578828,predictive
13,meta_doa,0.7371861600432809,0.0033426304119885787,meta
13,pc-er,0.093475341796875,0.027181621551781082,meta
13,rm,0.8239023920297962,0.004732299996477375,meta
14,ma_f_b,0.6900610446929931,0.009485578514166678,predictive
14,ma_prec,0.6896396160125733,0.009608318511461848,predictive
14,ma_rec,0.690894627571106,0.009056970118818584,predictive
14,mae,0.3050921618938446,0.009364459202629046,predictive
14,mi_acc,0.694907796382904,0.00936445046544647,predictive
14,mi_auc,0.6908946319280082,0.009056964003547536,predictive
14,mi_f_b,0.6513374805450439,0.010761982599262905,predictive
14,mi_prec,0.6418168067932128,0.017004193167981962,predictive
14,mi_rec,0.6613489031791687,0.009568957067319483,predictive
14,rmse,0.5522988796234131,0.008523332409073192,predictive
14,meta_doa,0.7461857692360525,0.002616129346624997,meta
14,pc-er,0.09534912109375,0.027899055756122722,meta
14,rm,0.8435801628188347,0.004204568919478116,meta
15,ma_f_b,0.6910699129104614,0.009544030295449474,predictive
15,ma_prec,0.6907612562179566,0.009767129371936635,predictive
15,ma_rec,0.6916202187538147,0.009084247099904661,predictive
15,mae,0.30437466502189636,0.009335516847205549,predictive
15,mi_acc,0.6956252932548523,0.009335511614105854,predictive
15,mi_auc,0.691620218789188,0.009084249883446065,predictive
15,mi_f_b,0.653607976436615,0.011237505039792718,predictive
15,mi_prec,0.6467704534530639,0.017098430879889416,predictive
15,mi_rec,0.6607316374778748,0.00795074223108235,predictive
15,rmse,0.5516491532325745,0.008506465867194822,predictive
15,meta_doa,0.7546613171673935,0.001828965146643582,meta
15,pc-er,0.097216796875,0.027555646029035628,meta
15,rm,0.8623472489650513,0.0038214548362278033,meta
-1,training_time,3280.632,378.14239212233264,system
