step,metric,mean,std,type
0,ma_f_b,0.5483431100845337,0.014956145348837602,predictive
0,ma_prec,0.5486263513565064,0.014667262252023618,predictive
0,ma_rec,0.5488685727119446,0.015233588274539488,predictive
0,mae,0.46118288636207583,0.013709916130611467,predictive
0,mi_acc,0.5542999386787415,0.01684437334467313,predictive
0,mi_f_b,0.49780906438827516,0.013488190034221475,predictive
0,mi_prec,0.497577041387558,0.02319789432643235,predictive
0,mi_rec,0.49895225167274476,0.020001912868774653,predictive
0,rmse,0.5800750255584717,0.010703800481403052,predictive
0,meta_doa,0.5043348785026115,0.0025036001065368695,meta
0,pc-er,0.007938766479492187,0.024881432600059025,meta
0,rm,0.027302218326383826,0.009610194230690677,meta
1,ma_f_b,0.5534551262855529,0.01116642397453927,predictive
1,ma_prec,0.5537950754165649,0.010783877642207155,predictive
1,ma_rec,0.5539600133895874,0.011357014763181253,predictive
1,mae,0.457452255487442,0.012055601891763868,predictive
1,mi_acc,0.5590433239936828,0.013361428352305783,predictive
1,mi_f_b,0.5048118531703949,0.008538208940289773,predictive
1,mi_prec,0.5063163876533509,0.022124811421308645,predictive
1,mi_rec,0.5042461514472961,0.01625323280738222,predictive
1,rmse,0.5803000092506408,0.008945902700263159,predictive
1,meta_doa,0.5095762764584926,0.0022681575261903784,meta
1,pc-er,0.011157989501953125,0.02674438085498979,meta
1,rm,0.05147966498528618,0.009446225233633415,meta
2,ma_f_b,0.5603259205818176,0.012099337701916154,predictive
2,ma_prec,0.5606986522674561,0.011717083862992686,predictive
2,ma_rec,0.560779869556427,0.01216783289354647,predictive
2,mae,0.45208723545074464,0.012346480386163683,predictive
2,mi_acc,0.565560519695282,0.013832252536564333,predictive
2,mi_f_b,0.513358187675476,0.008828061549668996,predictive
2,mi_prec,0.5161297261714936,0.021205617907406677,predictive
2,mi_rec,0.5115037262439728,0.017114443546537406,predictive
2,rmse,0.5775837063789367,0.009166988619085523,predictive
2,meta_doa,0.5125438227277291,0.002246746442333012,meta
2,pc-er,0.019533538818359376,0.020855446337368824,meta
2,rm,0.0647792218320242,0.011104838572918493,meta
3,ma_f_b,0.5639708876609802,0.01385665146413183,predictive
3,ma_prec,0.5642604827880859,0.01354989022076578,predictive
