step,metric,mean,std,type
0,ma_f_b,0.5421619296073914,0.02196162113112294,predictive
0,ma_prec,0.5423438072204589,0.021719605156910852,predictive
0,ma_rec,0.5424076318740845,0.022080891278441768,predictive
0,mae,0.46671188473701475,0.018995118546604312,predictive
0,mi_acc,0.5473642110824585,0.023348963242691517,predictive
0,mi_f_b,0.4943638801574707,0.020007962604689736,predictive
0,mi_prec,0.49798590540885923,0.018480905381962138,predictive
0,mi_rec,0.4912204682826996,0.026795732990747927,predictive
0,rmse,0.5818471074104309,0.015449939687051634,predictive
0,meta_doa,0.4999753009746197,0.0012923971796681474,meta
0,pc-er,-0.0026058197021484376,0.012372836239707162,meta
0,rm,-0.00015013541719447403,0.00692161238248069,meta
1,ma_f_b,0.542299211025238,0.021802210962021316,predictive
1,ma_prec,0.5424729704856872,0.02156482290481689,predictive
1,ma_rec,0.5425393462181092,0.021928296654096298,predictive
1,mae,0.4666198968887329,0.018970175161904607,predictive
1,mi_acc,0.5475236535072326,0.02318562178401539,predictive
1,mi_f_b,0.4943848490715027,0.019838849728603555,predictive
1,mi_prec,0.49784986972808837,0.018151234763521124,predictive
1,mi_rec,0.49138360023498534,0.02665305929930737,predictive
1,rmse,0.5817566514015198,0.015437210901274454,predictive
1,meta_doa,0.5000237909940881,0.001293563709804674,meta
1,pc-er,-0.002529144287109375,0.012383509728736461,meta
1,rm,0.00010655674857943153,0.00689354039583061,meta
2,ma_f_b,0.5424515247344971,0.02159397164046505,predictive
2,ma_prec,0.5426180362701416,0.021359242863565452,predictive
2,ma_rec,0.5426920175552368,0.02173713959773527,predictive
2,mae,0.4665013313293457,0.018967004688812916,predictive
2,mi_acc,0.5477030158042908,0.023013756886727726,predictive
2,mi_f_b,0.4944187581539154,0.019490481375834777,predictive
2,mi_prec,0.4977112412452698,0.01757623451067275,predictive
2,mi_rec,0.49158323407173155,0.026509837198914407,predictive
2,rmse,0.5816398024559021,0.015432652592639783,predictive
2,meta_doa,0.5000878445948475,0.0013000944010220976,meta
2,pc-er,-0.002375030517578125,0.0124207297470463,meta
2,rm,0.0004559408007534501,0.0068598747719665265,meta
3,ma_f_b,0.5424739003181458,0.021807033576275888,predictive
3,ma_prec,0.5426325798034668,0.021578402232932347,predictive
3,ma_rec,0.5427149891853332,0.021953661649165745,predictive
3,mae,0.4663606107234955,0.018971559028450623,predictive
3,mi_acc,0.5477627992630005,0.023201553141903867,predictive
3,mi_f_b,0.49426737427711487,0.01986706974157441,predictive
3,mi_prec,0.49734305739402773,0.01785458749841135,predictive
3,mi_rec,0.4916410505771637,0.02685212370979033,predictive
3,rmse,0.5814894676208496,0.015440504662821979,predictive
3,meta_doa,0.5001606684002267,0.0013102065817879682,meta
3,pc-er,-0.00222015380859375,0.012455305238534867,meta
3,rm,0.0008754292174727948,0.006819202271767243,meta
4,ma_f_b,0.5425091505050659,0.021639789707703787,predictive
4,ma_prec,0.5426595091819764,0.021417236840750524,predictive
4,ma_rec,0.5427426934242249,0.02179183797207233,predictive
4,mae,0.46615610718727113,0.018965944046069303,predictive
4,mi_acc,0.5478226065635681,0.02301959445718613,predictive
4,mi_f_b,0.49416548013687134,0.01971824539405442,predictive
4,mi_prec,0.4970762014389038,0.01762766972681894,predictive
4,mi_rec,0.49168661236763,0.026633172906188395,predictive
4,rmse,0.5812835097312927,0.015441175829252094,predictive
4,meta_doa,0.5002667478889282,0.0013119665675794517,meta
4,pc-er,-0.0019626617431640625,0.012453404949764343,meta
4,rm,0.0014784289357914558,0.006716773590987123,meta
5,ma_f_b,0.5429707288742065,0.021659668600302162,predictive
5,ma_prec,0.5431204199790954,0.021431927010060192,predictive
5,ma_rec,0.5432137370109558,0.02183049983466353,predictive
5,mae,0.4659345090389252,0.018933552780908653,predictive
5,mi_acc,0.5483009338378906,0.023100641343013355,predictive
5,mi_f_b,0.4945957183837891,0.01949464241706213,predictive
5,mi_prec,0.4973908722400665,0.017253110768869935,predictive
5,mi_rec,0.4922429323196411,0.02671647532525403,predictive
5,rmse,0.5810588955879211,0.015425671865040347,predictive
5,meta_doa,0.5003777308259086,0.0013195565641839606,meta
